,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,700,3,0,700,700,0,700,700,1,w1,700,0,700,828,30240,5799,Available,Available,Available,100%,100,120%,120,100%,100,Above Trend,Above Trend,Above Trend,09/02 00:00:00 EDT,10/01 00:00:00 EDT,w1,0,2015-09-02 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,128,29540,5099,3000,3000,3000,3000,3000,3000,4256266,4256268,4256267,2015-09-01 19:22:30,2015-09-01 19:22:30,2015-09-01 19:22:30,Mansfield,Mansfield,Mansfield,828,25200,5799,828,30240,5799,False,True,700,True,700,True,128,29540,5099,-1,-1,-1,83.0,0.0,0,5799.0,828.0,24840.0,83.0,0,1
2015-09-02,2015-09-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,1000,3,1000,1000,1700,0,1700,1000,1,w1,1000,0,1000,828,30240,5799,Out,Available,Available,100%,100,120%,120,100%,100,Above Trend,Above Trend,Above Trend,09/03 00:00:00 EDT,10/01 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-172,28540,4799,0,0,0,0,0,0,4317913,4317915,4317914,2015-09-02 19:23:01,2015-09-02 19:23:01,2015-09-02 19:23:01,Mansfield,Mansfield,Mansfield,828,25200,5799,828,30240,5799,True,True,1000,True,1700,True,-172,28540,4799,-1,-1,-1,101.0,133.0,0,5799.0,828.0,24840.0,101.0,0,1
2015-09-03,2015-09-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,5200,3,5200,5200,6900,0,6900,6200,1,w1,5200,0,6200,1242,30240,6959,Out,Available,Out,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,09/04 00:00:00 EDT,10/01 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-3958,23340,759,3000,3000,3000,958,958,958,4377480,4377482,4377481,2015-09-03 22:24:55,2015-09-03 22:24:55,2015-09-03 22:24:55,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,6200,True,6900,True,-3958,23340,759,3000,-1,-1,274.0,800.0,0,5799.0,828.0,24840.0,274.0,0,1
2015-09-04,2015-09-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,1700,3,1700,1700,8600,0,8600,7900,1,w1,1700,0,7900,1242,30240,6959,Available,Available,Limited,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,09/05 00:00:00 EDT,10/01 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-458,21640,-941,5000,5000,5000,5000,5000,5000,4437400,4437402,4437401,2015-09-04 22:21:32,2015-09-04 22:21:32,2015-09-04 22:21:32,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,7900,True,8600,True,-458,21640,-941,5000,-1,5000,256.0,267.0,0,5799.0,828.0,24840.0,256.0,0,1
2015-09-05,2015-09-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,6000,3,6000,6000,14600,0,14600,13900,1,w1,6000,0,13900,1242,30240,6959,Out,Available,Out,150%,150,120%,120,120%,120,Above Trend,Above Trend,Above Trend,09/06 00:00:00 EDT,10/01 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,-4758,15640,-6941,5000,5000,5000,1000,1000,1000,4490424,4490426,4490425,2015-09-05 22:20:59,2015-09-05 22:20:59,2015-09-05 22:20:59,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,13900,True,14600,True,-4758,15640,-6941,5000,-1,5000,348.0,933.0,0,5799.0,828.0,24840.0,348.0,0,1
2015-09-06,2015-09-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,3,0,0,14600,0,14600,13900,1,w1,0,0,13900,1242,30240,6959,Limited,Available,Out,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,09/07 00:00:00 EDT,10/01 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,15640,-6941,5000,5000,5000,1000,1000,1000,4543317,4543319,4543318,2015-09-06 22:25:17,2015-09-06 22:25:17,2015-09-06 22:25:17,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,13900,True,14600,True,1242,15640,-6941,-1,-1,5000,290.0,0.0,0,5799.0,828.0,24840.0,290.0,0,1
2015-09-07,2015-09-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,3,0,0,14600,0,14600,13900,1,w1,0,0,13900,1242,30240,6959,Limited,Available,Out,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,09/08 00:00:00 EDT,10/01 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,15640,-6941,5000,5000,5000,1000,1000,1000,4584909,4584911,4584910,2015-09-07 15:19:03,2015-09-07 15:19:03,2015-09-07 15:19:03,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,13900,True,14600,True,1242,15640,-6941,-1,-1,5000,248.0,0.0,0,5799.0,828.0,24840.0,248.0,0,1
2015-09-08,2015-09-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,14600,0,14600,13900,1,w1,0,0,13900,1242,30240,6959,Limited,Available,Out,150%,150,120%,120,120%,120,Below Trend,Above Trend,Above Trend,09/09 00:00:00 EDT,10/01 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,15640,-6941,5000,5000,5000,1000,1000,1000,4658953,4658955,4658954,2015-09-08 22:24:31,2015-09-08 22:24:31,2015-09-08 22:24:31,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,13900,True,14600,True,1242,15640,-6941,-1,-1,5000,217.0,0.0,200,5799.0,828.0,24840.0,217.0,0,1
2015-09-09,2015-09-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,14600,0,14600,0,1,w2,0,0,0,1242,30240,6959,Limited,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Below Trend,09/10 00:00:00 EDT,10/01 00:00:00 EDT,w3,0,2015-09-16 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,15640,6959,5000,5000,5000,1000,1000,1000,4718623,4718625,4718624,2015-09-09 22:22:56,2015-09-09 22:22:56,2015-09-09 22:22:56,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,0,True,14600,True,1242,15640,6959,-1,-1,-1,193.0,0.0,0,5799.0,828.0,24840.0,193.0,0,1
2015-09-10,2015-09-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 93,828,25200,5799,1,0,0,0,0,14600,0,14600,0,1,w2,0,0,0,1242,30240,6959,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Above Trend,Below Trend,09/11 00:00:00 EDT,10/01 00:00:00 EDT,w3,0,2015-09-16 00:00:00,Contract,Contract,Contract,828,828,25200,25200,5799,1242,15640,6959,0,0,0,0,0,0,4773690,4773692,4773691,2015-09-10 22:24:46,2015-09-10 22:24:46,2015-09-10 22:24:46,Mansfield,Mansfield,Mansfield,828,25200,5799,1242,30240,6959,True,True,0,True,14600,True,1242,15640,6959,-1,-1,-1,174.0,0.0,0,5799.0,828.0,24840.0,174.0,0,1
