,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,15091,0,15091,15091,15091,0,15091,95891,1,w1,15091,0,15091,20712,420000,96658,Limited,Available,Limited,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,09/02 00:00:00 EDT,10/01 00:00:00 EDT,w1,0,2015-09-02 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,5621,404909,767,0,0,0,0,0,0,4256272,4256274,4256273,2015-09-01 19:22:30,2015-09-01 19:22:30,2015-09-01 19:22:30,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,False,15091,True,15091,True,5621,404909,81567,-1,-1,-1,108.0,133.0,0,96658.0,13808.0,414240.0,108.0,1,1
2015-09-02,2015-09-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,25090,0,25090,25090,40181,0,40181,25090,1,w2,25090,0,25090,20712,420000,96658,Out,Available,Available,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,09/03 00:00:00 EDT,10/01 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,-4378,379819,71568,0,0,0,0,0,0,4317919,4317921,4317920,2015-09-02 19:23:01,2015-09-02 19:23:01,2015-09-02 19:23:01,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,25090,True,40181,True,-4378,379819,71568,-1,-1,-1,144.0,133.0,0,96658.0,13808.0,414240.0,144.0,1,1
2015-09-03,2015-09-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,27369,0,27369,27369,67550,0,67550,52459,1,w2,27369,0,52459,20712,420000,96658,Out,Available,Available,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,09/04 00:00:00 EDT,10/01 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,-6657,352450,44199,0,0,0,0,0,0,4377486,4377488,4377487,2015-09-03 22:24:55,2015-09-03 22:24:55,2015-09-03 22:24:55,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,52459,True,67550,True,-6657,352450,44199,-1,-1,-1,161.0,133.0,0,96658.0,13808.0,414240.0,161.0,1,1
2015-09-04,2015-09-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,25650,0,25650,25650,93200,0,93200,78109,1,w2,25650,0,78109,20712,420000,96658,Out,Available,Limited,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,09/05 00:00:00 EDT,10/01 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,-4938,326800,18549,0,0,0,0,0,0,4437406,4437408,4437407,2015-09-04 22:21:32,2015-09-04 22:21:32,2015-09-04 22:21:32,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,78109,True,93200,True,-4938,326800,18549,-1,-1,-1,166.0,133.0,0,96658.0,13808.0,414240.0,166.0,1,1
2015-09-05,2015-09-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,3340,0,3340,3340,96540,0,96540,81449,1,w2,3340,0,81449,20712,420000,96658,Available,Available,Limited,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,09/06 00:00:00 EDT,10/01 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,17372,323460,15209,0,0,0,0,0,0,4490430,4490432,4490431,2015-09-05 22:20:59,2015-09-05 22:20:59,2015-09-05 22:20:59,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,81449,True,96540,True,17372,323460,15209,-1,-1,-1,138.0,0.0,0,96658.0,13808.0,414240.0,138.0,1,1
2015-09-06,2015-09-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,1840,0,1840,1840,98380,0,98380,83289,1,w2,1840,0,83289,20712,420000,96658,Available,Available,Limited,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,09/07 00:00:00 EDT,10/01 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,18872,321620,13369,0,0,0,0,0,0,4543323,4543325,4543324,2015-09-06 22:25:17,2015-09-06 22:25:17,2015-09-06 22:25:17,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,83289,True,98380,True,18872,321620,13369,-1,-1,-1,117.0,0.0,0,96658.0,13808.0,414240.0,117.0,1,1
2015-09-07,2015-09-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,0,0,0,0,98380,0,98380,83289,1,w2,0,0,83289,20712,420000,96658,Available,Available,Limited,150%,150,100%,100,100%,100,Below Trend,Above Trend,Above Trend,09/08 00:00:00 EDT,10/01 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,20712,321620,13369,0,0,0,0,0,0,4584915,4584917,4584916,2015-09-07 15:19:03,2015-09-07 15:19:03,2015-09-07 15:19:03,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,83289,True,98380,True,20712,321620,13369,-1,-1,-1,100.0,0.0,0,96658.0,13808.0,414240.0,100.0,1,1
2015-09-08,2015-09-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,16001,0,16001,16001,114381,0,114381,99290,1,w2,16001,0,99290,20712,420000,96658,Limited,Available,Out,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,09/09 00:00:00 EDT,10/01 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,4711,305619,-2632,0,0,0,0,0,0,4658959,4658961,4658960,2015-09-08 22:24:31,2015-09-08 22:24:31,2015-09-08 22:24:31,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,99290,True,114381,True,4711,305619,-2632,-1,-1,-1,102.0,133.0,100,96658.0,13808.0,414240.0,102.0,1,1
2015-09-09,2015-09-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,21900,0,21900,21900,136281,0,136281,21900,1,w3,21900,0,21900,20712,420000,96658,Limited,Available,Available,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,09/10 00:00:00 EDT,10/01 00:00:00 EDT,w3,0,2015-09-16 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,-1188,283719,74758,3000,3000,3000,3000,3000,3000,4718629,4718631,4718630,2015-09-09 22:22:56,2015-09-09 22:22:56,2015-09-09 22:22:56,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,21900,True,136281,True,-1188,283719,74758,3000,-1,-1,108.0,133.0,0,96658.0,13808.0,414240.0,108.0,1,1
2015-09-10,2015-09-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Neville Island PA - PPC,PBF DIESEL,13808,420000,96658,1,20900,0,20900,20900,157181,0,157181,42800,1,w3,20900,0,42800,20712,420000,96658,Limited,Available,Available,150%,150,100%,100,100%,100,Above Trend,Above Trend,Above Trend,09/11 00:00:00 EDT,10/01 00:00:00 EDT,w3,0,2015-09-16 00:00:00,Contract,Contract,Contract,13808,13808,420000,420000,96658,-188,262819,53858,1000,1000,1000,1000,1000,1000,4773696,4773698,4773697,2015-09-10 22:24:46,2015-09-10 22:24:46,2015-09-10 22:24:46,Mansfield,Mansfield,Mansfield,13808,420000,96658,20712,420000,96658,True,True,42800,True,157181,True,-188,262819,53858,1000,-1,-1,112.0,133.0,0,96658.0,13808.0,414240.0,112.0,1,1
