,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,131967,57376,500000,6859,1,3821,3,3821,3821,3821,0,3821,131967,57376,500000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,57376,-1,500000,-1,125108,53555,496179,0,0,0,0,0,0,2562423,2562422,2562424,2015-08-01 19:01:14,2015-08-01 19:01:14,2015-08-01 19:01:14,Mansfield,Mansfield,Mansfield,0,0,1,w1,3821,0,3821,0,0,0,0,0,w1,0,-1,0,0,0,0,0,57376,500000,0,57376,500000,0,False,False,3821,True,3821,True,53555,496179,-3821,-1,-1,-1,24.0,0.0,-1,0.0,0.0,0.0,0.0,1,1
2015-08-02,2015-08-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,131967,57376,500000,6859,1,0,3,-15000,0,3821,0,3821,131967,57376,500000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,57376,-1,500000,-1,125108,57376,496179,0,0,0,0,0,0,2613917,2613916,2613918,2015-08-02 22:02:38,2015-08-02 22:02:38,2015-08-02 22:02:38,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,3821,0,0,0,0,0,w1,0,-1,0,0,0,0,0,57376,500000,0,57376,500000,0,False,False,3821,True,3821,True,57376,496179,-3821,-1,-1,-1,12.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-08-03,2015-08-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,131967,57376,500000,21859,1,15000,3,-19500,15000,18821,0,18821,131967,57376,500000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,57376,-1,500000,-1,110108,42376,481179,0,0,0,0,0,0,2669051,2669050,2669052,2015-08-03 22:02:39,2015-08-03 22:02:39,2015-08-03 22:02:39,Mansfield,Mansfield,Mansfield,0,0,1,w1,15000,0,18821,0,0,0,0,0,w1,0,-1,0,0,0,0,0,57376,500000,0,57376,500000,0,False,False,18821,True,18821,True,42376,481179,-18821,-1,-1,-1,39.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-08-04,2015-08-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,131967,57376,500000,56359,1,34500,3,1396,34500,53321,0,53321,131967,57376,500000,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,57376,-1,500000,-1,75608,22876,446679,0,0,0,0,0,0,2724376,2724375,2724377,2015-08-04 22:02:31,2015-08-04 22:02:31,2015-08-04 22:02:31,Mansfield,Mansfield,Mansfield,0,0,1,w1,34500,0,53321,0,0,0,0,0,w1,0,-1,0,0,0,0,0,57376,500000,0,57376,500000,0,False,False,53321,True,53321,True,22876,446679,-53321,-1,-1,-1,83.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-08-05,2015-08-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,131967,57376,500000,89463,1,33604,3,6754,33104,86425,0,86425,131967,57376,500000,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,57376,-1,500000,-1,42504,24272,413575,0,0,0,0,0,0,2782958,2782957,2782959,2015-08-05 19:02:54,2015-08-05 19:02:54,2015-08-05 19:02:54,Mansfield,Mansfield,Mansfield,0,0,1,w1,33104,0,86925,0,0,0,0,0,w1,0,-1,0,0,0,0,0,57376,500000,0,57376,500000,0,False,False,86925,True,86925,True,23772,413575,-86925,-1,-1,-1,107.0,0.0,-1,0.0,0.0,0.0,0.0,0,0
2015-08-06,2015-08-06 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,131967,57376,500000,116313,1,26350,3,8215,26350,113275,0,113275,131967,57376,500000,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,57376,-1,500000,-1,15654,31026,386725,0,0,0,0,0,0,2843230,2843229,2843231,2015-08-06 22:02:53,2015-08-06 22:02:53,2015-08-06 22:02:53,Mansfield,Mansfield,Mansfield,0,0,1,w1,26350,0,113275,0,0,0,0,0,w1,0,-1,0,0,0,0,0,57376,500000,0,57376,500000,0,False,False,113275,True,113275,True,31026,386725,-113275,-1,-1,-1,117.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-08-07,2015-08-07 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,131967,57376,500000,18135,1,18135,3,7635,18135,131410,0,131410,131967,57376,500000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,57376,-1,500000,-1,113832,39241,368590,0,0,0,0,0,0,2896571,2896570,2896572,2015-08-07 22:02:26,2015-08-07 22:02:26,2015-08-07 22:02:26,Mansfield,Mansfield,Mansfield,0,0,1,w1,18135,0,131410,0,0,0,0,0,w1,0,-1,0,0,0,0,0,57376,500000,0,57376,500000,0,False,False,131410,True,131410,True,39241,368590,-131410,-1,-1,-1,116.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-08-08,2015-08-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,131967,57376,500000,28635,1,10500,3,10500,10500,141910,0,141910,131967,57376,500000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,57376,-1,500000,-1,103332,46876,358090,0,0,0,0,0,0,2952405,2952404,2952406,2015-08-08 22:02:26,2015-08-08 22:02:26,2015-08-08 22:02:26,Mansfield,Mansfield,Mansfield,0,0,1,w1,10500,0,141910,0,0,0,0,0,w1,0,-1,0,0,0,0,0,57376,500000,0,57376,500000,0,False,False,141910,True,141910,True,46876,358090,-141910,-1,-1,-1,110.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-08-09,2015-08-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,131967,57376,500000,28635,1,0,3,-11100,0,141910,0,141910,131967,57376,500000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,57376,-1,500000,-1,103332,57376,358090,0,0,0,0,0,0,3004528,3004527,3004529,2015-08-09 22:03:36,2015-08-09 22:03:36,2015-08-09 22:03:36,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,141910,0,0,0,0,0,w1,0,-1,0,0,0,0,0,57376,500000,0,57376,500000,0,False,False,141910,True,141910,True,57376,358090,-141910,-1,-1,-1,98.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-08-10,2015-08-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,131967,57376,500000,39735,1,11100,3,-12700,11100,153010,0,153010,131967,57376,500000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,57376,-1,500000,-1,92232,46276,346990,0,0,0,0,0,0,3065792,3065791,3065793,2015-08-10 22:05:35,2015-08-10 22:05:35,2015-08-10 22:05:35,Mansfield,Mansfield,Mansfield,0,0,1,w1,11100,0,153010,0,0,0,0,0,w1,0,-1,0,0,0,0,0,57376,500000,0,57376,500000,0,False,False,153010,True,153010,True,46276,346990,-153010,-1,-1,-1,95.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
