,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,147000,31500,630000,7500,1,0,3,0,0,0,0,0,147000,31500,630000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8400,-1,168000,-1,139500,31500,630000,0,0,0,0,0,0,2562510,2562509,2562511,2015-08-01 19:01:14,2015-08-01 19:01:14,2015-08-01 19:01:14,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31500,630000,0,31500,630000,0,False,False,0,True,0,True,31500,630000,0,-1,-1,-1,-1.0,0.0,-1,0.0,0.0,0.0,-1.0,1,1
2015-08-02,2015-08-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,39200,8400,168000,7500,1,0,3,-7503,0,0,0,0,39200,8400,168000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8400,-1,168000,-1,31700,8400,168000,0,0,0,0,0,0,2614004,2614003,2614005,2015-08-02 22:02:38,2015-08-02 22:02:38,2015-08-02 22:02:38,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8400,168000,0,8400,168000,0,False,False,0,True,0,True,8400,168000,0,-1,-1,-1,-1.0,0.0,-1,0.0,0.0,0.0,-1.0,0,1
2015-08-03,2015-08-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,39200,8400,168000,15003,1,7503,3,998,7503,7503,0,7503,39200,8400,168000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8400,-1,168000,-1,24197,897,160497,0,0,0,0,0,0,2669144,2669143,2669145,2015-08-03 22:02:39,2015-08-03 22:02:39,2015-08-03 22:02:39,Mansfield,Mansfield,Mansfield,0,0,1,w1,7503,0,7503,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8400,168000,0,8400,168000,0,False,False,7503,True,7503,True,897,160497,-7503,-1,-1,-1,46.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-08-04,2015-08-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,39200,8400,168000,21508,1,6505,3,-1702,6505,14008,0,14008,39200,8400,168000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8400,-1,168000,-1,17692,1895,153992,0,0,0,0,0,0,2724466,2724465,2724467,2015-08-04 22:02:31,2015-08-04 22:02:31,2015-08-04 22:02:31,Mansfield,Mansfield,Mansfield,0,0,1,w1,6505,0,14008,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8400,168000,0,8400,168000,0,False,False,14008,True,14008,True,1895,153992,-14008,-1,-1,-1,65.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-08-05,2015-08-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,39200,8400,168000,29715,1,8207,3,-6793,8207,22215,0,22215,39200,8400,168000,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8400,-1,168000,-1,9485,193,145785,0,0,0,0,0,0,2783048,2783047,2783049,2015-08-05 19:02:54,2015-08-05 19:02:54,2015-08-05 19:02:54,Mansfield,Mansfield,Mansfield,0,0,1,w1,8207,0,22215,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8400,168000,0,8400,168000,0,False,False,22215,True,22215,True,193,145785,-22215,-1,-1,-1,82.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-08-06,2015-08-06 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,39200,8400,168000,15000,1,15000,3,2500,15000,37215,0,37215,39200,8400,168000,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8400,-1,168000,-1,24200,-6600,130785,0,0,0,0,0,0,2843320,2843319,2843321,2015-08-06 22:02:53,2015-08-06 22:02:53,2015-08-06 22:02:53,Mansfield,Mansfield,Mansfield,0,0,1,w1,15000,0,37215,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8400,168000,0,8400,168000,0,False,False,37215,True,37215,True,-6600,130785,-37215,-1,-1,-1,114.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-08-07,2015-08-07 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,39200,8400,168000,27500,1,12500,3,12500,12500,49715,0,49715,39200,8400,168000,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8400,-1,168000,-1,11700,-4100,118285,0,0,0,0,0,0,2896661,2896660,2896662,2015-08-07 22:02:26,2015-08-07 22:02:26,2015-08-07 22:02:26,Mansfield,Mansfield,Mansfield,0,0,1,w1,12500,0,49715,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8400,168000,0,8400,168000,0,False,False,49715,True,49715,True,-4100,118285,-49715,-1,-1,-1,131.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-08-08,2015-08-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,39200,8400,168000,27500,1,0,3,0,0,49715,0,49715,39200,8400,168000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8400,-1,168000,-1,11700,8400,118285,0,0,0,0,0,0,2952495,2952494,2952496,2015-08-08 22:02:26,2015-08-08 22:02:26,2015-08-08 22:02:26,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,49715,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8400,168000,0,8400,168000,0,False,False,49715,True,49715,True,8400,118285,-49715,-1,-1,-1,115.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-08-09,2015-08-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,39200,8400,168000,27500,1,0,3,-13502,0,49715,0,49715,39200,8400,168000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8400,-1,168000,-1,11700,8400,118285,0,0,0,0,0,0,3004618,3004617,3004619,2015-08-09 22:03:36,2015-08-09 22:03:36,2015-08-09 22:03:36,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,49715,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8400,168000,0,8400,168000,0,False,False,49715,True,49715,True,8400,118285,-49715,-1,-1,-1,102.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-08-10,2015-08-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,39200,8400,168000,41002,1,13502,3,13502,13502,63217,0,63217,39200,8400,168000,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8400,-1,168000,-1,-1802,-5102,104783,0,0,0,0,0,0,3065885,3065884,3065886,2015-08-10 22:05:35,2015-08-10 22:05:35,2015-08-10 22:05:35,Mansfield,Mansfield,Mansfield,0,0,1,w1,13502,0,63217,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8400,168000,0,8400,168000,0,False,False,63217,True,63217,True,-5102,104783,-63217,-1,-1,-1,117.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
