,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,360298,38604,1177401,92067,1,17038,3,-28237,15768,15768,0,15768,360298,38604,1177401,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,38604,-1,1177401,-1,268231,22836,1161633,0,0,0,0,0,0,9238521,9238520,9238522,2015-12-01 22:02:55,2015-12-01 22:02:55,2015-12-01 22:02:55,Mansfield,Mansfield,Mansfield,0,0,1,w1,15768,0,17038,0,0,0,0,0,w1,0,-1,0,0,0,0,0,38604,1177401,0,38604,1177401,0,False,False,0,0,0,0,21566,1161633,-17038,-1,-1,-1,42.0,0.0,-1,0.0,0.0,0.0,-1,0,0
2015-12-02,2015-12-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,360298,38604,1177401,137342,1,44005,3,8892,44005,61043,0,61043,360298,38604,1177401,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,38604,-1,1177401,-1,222956,-5401,1116358,0,0,0,0,0,0,9292791,9292790,9292792,2015-12-02 22:05:35,2015-12-02 22:05:35,2015-12-02 22:05:35,Mansfield,Mansfield,Mansfield,0,0,1,w1,44005,0,61043,0,0,0,0,0,w1,0,-1,0,0,0,0,0,38604,1177401,0,38604,1177401,0,False,False,0,0,0,0,-5401,1116358,-61043,-1,-1,-1,80.0,133.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-03,2015-12-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,360298,38604,1177401,172455,1,35113,3,1619,35113,96156,0,96156,360298,38604,1177401,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,38604,-1,1177401,-1,187843,3491,1081245,0,0,0,0,0,0,9346062,9346061,9346063,2015-12-03 22:05:34,2015-12-03 22:05:34,2015-12-03 22:05:34,Mansfield,Mansfield,Mansfield,0,0,1,w1,35113,0,96156,0,0,0,0,0,w1,0,-1,0,0,0,0,0,38604,1177401,0,38604,1177401,0,False,False,0,0,0,0,3491,1081245,-96156,-1,-1,-1,84.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-04,2015-12-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,360298,38604,1177401,33494,1,33494,3,25988,33494,129650,0,129650,360298,38604,1177401,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,38604,-1,1177401,-1,326804,5110,1047751,0,0,0,0,0,0,9399684,9399683,9399685,2015-12-04 22:05:01,2015-12-04 22:05:01,2015-12-04 22:05:01,Mansfield,Mansfield,Mansfield,0,0,1,w1,33494,0,129650,0,0,0,0,0,w1,0,-1,0,0,0,0,0,38604,1177401,0,38604,1177401,0,False,False,0,0,0,0,5110,1047751,-129650,-1,-1,-1,85.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-05,2015-12-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,360298,38604,1177401,41000,1,7506,3,-1394,7506,137156,0,137156,360298,38604,1177401,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,38604,-1,1177401,-1,319298,31098,1040245,0,0,0,0,0,0,9451775,9451774,9451776,2015-12-05 22:05:37,2015-12-05 22:05:37,2015-12-05 22:05:37,Mansfield,Mansfield,Mansfield,0,0,1,w1,7506,0,137156,0,0,0,0,0,w1,0,-1,0,0,0,0,0,38604,1177401,0,38604,1177401,0,False,False,0,0,0,0,31098,1040245,-137156,-1,-1,-1,72.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-06,2015-12-06 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,360298,38604,1177401,49900,1,8900,3,-34804,8900,146056,0,146056,360298,38604,1177401,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,38604,-1,1177401,-1,310398,29704,1031345,0,0,0,0,0,0,9489085,9489084,9489086,2015-12-06 22:05:27,2015-12-06 22:05:27,2015-12-06 22:05:27,Mansfield,Mansfield,Mansfield,0,0,1,w1,8900,0,146056,0,0,0,0,0,w1,0,-1,0,0,0,0,0,38604,1177401,0,38604,1177401,0,False,False,0,0,0,0,29704,1031345,-146056,-1,-1,-1,64.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-07,2015-12-07 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,360298,38604,1177401,93604,1,43704,3,12891,43704,189760,0,189760,360298,38604,1177401,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,38604,-1,1177401,-1,266694,-5100,987641,0,0,0,0,0,0,9533660,9533659,9533661,2015-12-07 22:05:38,2015-12-07 22:05:38,2015-12-07 22:05:38,Mansfield,Mansfield,Mansfield,0,0,1,w1,43704,0,189760,0,0,0,0,0,w1,0,-1,0,0,0,0,0,38604,1177401,0,38604,1177401,0,False,False,0,0,0,0,-5100,987641,-189760,-1,-1,-1,71.0,133.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-08,2015-12-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,360298,38604,1177401,124417,1,35313,3,-8693,30813,220573,0,220573,360298,38604,1177401,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,38604,-1,1177401,-1,235881,7791,956828,0,0,0,0,0,0,9585668,9585667,9585669,2015-12-08 22:06:08,2015-12-08 22:06:08,2015-12-08 22:06:08,Mansfield,Mansfield,Mansfield,0,0,1,w1,30813,0,225073,0,0,0,0,0,w1,0,-1,0,0,0,0,0,38604,1177401,0,38604,1177401,0,False,False,0,0,0,0,3291,956828,-225073,-1,-1,-1,73.0,0.0,-1,0.0,0.0,0.0,-1,0,0
2015-12-09,2015-12-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,360298,38604,1177401,168423,1,39506,3,640,39506,264579,0,264579,360298,38604,1177401,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,38604,-1,1177401,-1,191875,-902,912822,0,0,0,0,0,0,9636509,9636508,9636510,2015-12-09 22:05:36,2015-12-09 22:05:36,2015-12-09 22:05:36,Mansfield,Mansfield,Mansfield,0,0,1,w1,39506,0,264579,0,0,0,0,0,w1,0,-1,0,0,0,0,0,38604,1177401,0,38604,1177401,0,False,False,0,0,0,0,-902,912822,-264579,-1,-1,-1,77.0,133.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-10,2015-12-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Spartanburg,GENERIC ULSD-SH,360298,38604,1177401,207289,1,38866,3,2057,38866,303445,0,303445,360298,38604,1177401,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,38604,-1,1177401,-1,153009,-262,873956,0,0,0,0,0,0,9678593,9678592,9678594,2015-12-10 23:50:54,2015-12-10 23:50:54,2015-12-10 23:50:54,Mansfield,Mansfield,Mansfield,0,0,1,w1,38866,0,303445,0,0,0,0,0,w1,0,-1,0,0,0,0,0,38604,1177401,0,38604,1177401,0,False,False,0,0,0,0,-262,873956,-303445,-1,-1,-1,80.0,133.0,-1,0.0,0.0,0.0,-1,0,1
