,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,68600,14700,294000,33001,1,10502,3,-2303,10502,10502,0,10502,68600,14700,294000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,18291,-1,378000,-1,35599,4198,283498,0,0,0,0,0,0,9238626,9238625,9238627,2015-12-01 22:02:55,2015-12-01 22:02:55,2015-12-01 22:02:55,Mansfield,Mansfield,Mansfield,0,0,1,w1,10502,0,10502,0,0,0,0,0,w1,0,-1,0,0,0,0,0,14700,294000,0,14700,294000,0,False,False,0,0,0,0,4198,283498,-10502,-1,-1,-1,111.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-02,2015-12-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,85355,18291,378000,45806,1,12805,3,-10995,12805,23307,0,23307,85355,18291,378000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,18291,-1,378000,-1,39549,5486,354693,0,0,0,0,0,0,9292887,9292886,9292888,2015-12-02 22:05:35,2015-12-02 22:05:35,2015-12-02 22:05:35,Mansfield,Mansfield,Mansfield,0,0,1,w1,12805,0,23307,0,0,0,0,0,w1,0,-1,0,0,0,0,0,18291,378000,0,18291,378000,0,False,False,0,0,0,0,5486,354693,-23307,-1,-1,-1,96.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-03,2015-12-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,85355,18291,378000,23800,1,23800,3,757,23800,47107,0,47107,85355,18291,378000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,18291,-1,378000,-1,61555,-5509,330893,0,0,0,0,0,0,9346155,9346154,9346156,2015-12-03 22:05:34,2015-12-03 22:05:34,2015-12-03 22:05:34,Mansfield,Mansfield,Mansfield,0,0,1,w1,23800,0,47107,0,0,0,0,0,w1,0,-1,0,0,0,0,0,18291,378000,0,18291,378000,0,False,False,0,0,0,0,-5509,330893,-47107,-1,-1,-1,129.0,133.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-04,2015-12-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,85355,18291,378000,46843,1,23043,3,23043,23043,70150,0,70150,85355,18291,378000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,18291,-1,378000,-1,38512,-4752,307850,0,0,0,0,0,0,9399777,9399776,9399778,2015-12-04 22:05:01,2015-12-04 22:05:01,2015-12-04 22:05:01,Mansfield,Mansfield,Mansfield,0,0,1,w1,23043,0,70150,0,0,0,0,0,w1,0,-1,0,0,0,0,0,18291,378000,0,18291,378000,0,False,False,0,0,0,0,-4752,307850,-70150,-1,-1,-1,144.0,133.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-05,2015-12-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,85355,18291,378000,46843,1,0,3,0,0,70150,0,70150,85355,18291,378000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,18291,-1,378000,-1,38512,18291,307850,0,0,0,0,0,0,9451868,9451867,9451869,2015-12-05 22:05:37,2015-12-05 22:05:37,2015-12-05 22:05:37,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,70150,0,0,0,0,0,w1,0,-1,0,0,0,0,0,18291,378000,0,18291,378000,0,False,False,0,0,0,0,18291,307850,-70150,-1,-1,-1,115.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-06,2015-12-06 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,85355,18291,378000,46843,1,0,3,-18012,0,70150,0,70150,85355,18291,378000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,18291,-1,378000,-1,38512,18291,307850,0,0,0,0,0,0,9489178,9489177,9489179,2015-12-06 22:05:27,2015-12-06 22:05:27,2015-12-06 22:05:27,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,70150,0,0,0,0,0,w1,0,-1,0,0,0,0,0,18291,378000,0,18291,378000,0,False,False,0,0,0,0,18291,307850,-70150,-1,-1,-1,96.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-07,2015-12-07 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,85355,18291,378000,64855,1,18012,3,142,18012,88162,0,88162,85355,18291,378000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,18291,-1,378000,-1,20500,279,289838,0,0,0,0,0,0,9533753,9533752,9533754,2015-12-07 22:05:38,2015-12-07 22:05:38,2015-12-07 22:05:38,Mansfield,Mansfield,Mansfield,0,0,1,w1,18012,0,88162,0,0,0,0,0,w1,0,-1,0,0,0,0,0,18291,378000,0,18291,378000,0,False,False,0,0,0,0,279,289838,-88162,-1,-1,-1,103.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-08,2015-12-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,85355,18291,378000,82725,1,17870,3,10365,17870,106032,0,106032,85355,18291,378000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,18291,-1,378000,-1,2630,421,271968,0,0,0,0,0,0,9585764,9585763,9585765,2015-12-08 22:06:08,2015-12-08 22:06:08,2015-12-08 22:06:08,Mansfield,Mansfield,Mansfield,0,0,1,w1,17870,0,106032,0,0,0,0,0,w1,0,-1,0,0,0,0,0,18291,378000,0,18291,378000,0,False,False,0,0,0,0,421,271968,-106032,-1,-1,-1,109.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-09,2015-12-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,85355,18291,378000,90230,1,7505,3,-2995,7505,113537,0,113537,85355,18291,378000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,18291,-1,378000,-1,-4875,10786,264463,0,0,0,0,0,0,9636602,9636601,9636603,2015-12-09 22:05:36,2015-12-09 22:05:36,2015-12-09 22:05:36,Mansfield,Mansfield,Mansfield,0,0,1,w1,7505,0,113537,0,0,0,0,0,w1,0,-1,0,0,0,0,0,18291,378000,0,18291,378000,0,False,False,0,0,0,0,10786,264463,-113537,-1,-1,-1,103.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-10,2015-12-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,85355,18291,378000,10500,1,10500,3,4495,10500,124037,0,124037,85355,18291,378000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,18291,-1,378000,-1,74855,7791,253963,0,0,0,0,0,0,9678689,9678688,9678690,2015-12-10 23:50:54,2015-12-10 23:50:54,2015-12-10 23:50:54,Mansfield,Mansfield,Mansfield,0,0,1,w1,10500,0,124037,0,0,0,0,0,w1,0,-1,0,0,0,0,0,18291,378000,0,18291,378000,0,False,False,0,0,0,0,7791,253963,-124037,-1,-1,-1,102.0,0.0,-1,0.0,0.0,0.0,-1,0,1
