,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Portland,GENERIC ULSD-SH,75460,29400,308700,0,1,0,3,0,0,0,0,0,75460,29400,308700,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,28452,-1,308700,-1,75460,29400,308700,0,0,0,0,0,0,9238623,9238622,9238624,2015-12-01 22:02:55,2015-12-01 22:02:55,2015-12-01 22:02:55,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,29400,308700,0,29400,308700,0,False,False,0,0,0,0,29400,308700,0,-1,-1,-1,-1.0,0.0,-1,0.0,0.0,0.0,-1,1,1
2015-12-02,2015-12-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Portland,GENERIC ULSD-SH,73026,28452,308700,0,1,0,3,-20002,0,0,0,0,73026,28452,308700,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,28452,-1,308700,-1,73026,28452,308700,0,0,0,0,0,0,9292881,9292880,9292882,2015-12-02 22:05:35,2015-12-02 22:05:35,2015-12-02 22:05:35,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,28452,308700,0,28452,308700,0,False,False,0,0,0,0,28452,308700,0,-1,-1,-1,-1.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-03,2015-12-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Portland,GENERIC ULSD-SH,73026,28452,308700,20002,1,20002,3,10002,20002,20002,0,20002,73026,28452,308700,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,28452,-1,308700,-1,53024,8450,288698,0,0,0,0,0,0,9346152,9346151,9346153,2015-12-03 22:05:34,2015-12-03 22:05:34,2015-12-03 22:05:34,Mansfield,Mansfield,Mansfield,0,0,1,w1,20002,0,20002,0,0,0,0,0,w1,0,-1,0,0,0,0,0,28452,308700,0,28452,308700,0,False,False,0,0,0,0,8450,288698,-20002,-1,-1,-1,67.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-04,2015-12-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Portland,GENERIC ULSD-SH,73026,28452,308700,30002,1,10000,3,1000,10000,30002,0,30002,73026,28452,308700,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,28452,-1,308700,-1,43024,18452,278698,0,0,0,0,0,0,9399774,9399773,9399775,2015-12-04 22:05:01,2015-12-04 22:05:01,2015-12-04 22:05:01,Mansfield,Mansfield,Mansfield,0,0,1,w1,10000,0,30002,0,0,0,0,0,w1,0,-1,0,0,0,0,0,28452,308700,0,28452,308700,0,False,False,0,0,0,0,18452,278698,-30002,-1,-1,-1,75.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-05,2015-12-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Portland,GENERIC ULSD-SH,73026,28452,308700,39002,1,9000,3,9000,9000,39002,0,39002,73026,28452,308700,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,28452,-1,308700,-1,34024,19452,269698,0,0,0,0,0,0,9451865,9451864,9451866,2015-12-05 22:05:37,2015-12-05 22:05:37,2015-12-05 22:05:37,Mansfield,Mansfield,Mansfield,0,0,1,w1,9000,0,39002,0,0,0,0,0,w1,0,-1,0,0,0,0,0,28452,308700,0,28452,308700,0,False,False,0,0,0,0,19452,269698,-39002,-1,-1,-1,78.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-06,2015-12-06 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Portland,GENERIC ULSD-SH,73026,28452,308700,39002,1,0,3,-19651,0,39002,0,39002,73026,28452,308700,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,28452,-1,308700,-1,34024,28452,269698,0,0,0,0,0,0,9489175,9489174,9489176,2015-12-06 22:05:27,2015-12-06 22:05:27,2015-12-06 22:05:27,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,39002,0,0,0,0,0,w1,0,-1,0,0,0,0,0,28452,308700,0,28452,308700,0,False,False,0,0,0,0,28452,269698,-39002,-1,-1,-1,65.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-07,2015-12-07 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Portland,GENERIC ULSD-SH,73026,28452,308700,58653,1,19651,3,2148,19651,58653,0,58653,73026,28452,308700,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,28452,-1,308700,-1,14373,8801,250047,0,0,0,0,0,0,9533750,9533749,9533751,2015-12-07 22:05:38,2015-12-07 22:05:38,2015-12-07 22:05:38,Mansfield,Mansfield,Mansfield,0,0,1,w1,19651,0,58653,0,0,0,0,0,w1,0,-1,0,0,0,0,0,28452,308700,0,28452,308700,0,False,False,0,0,0,0,8801,250047,-58653,-1,-1,-1,84.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-08,2015-12-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Portland,GENERIC ULSD-SH,73026,28452,308700,76156,1,17503,3,17503,17503,76156,0,76156,73026,28452,308700,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,28452,-1,308700,-1,-3130,10949,232544,0,0,0,0,0,0,9585758,9585757,9585759,2015-12-08 22:06:08,2015-12-08 22:06:08,2015-12-08 22:06:08,Mansfield,Mansfield,Mansfield,0,0,1,w1,17503,0,76156,0,0,0,0,0,w1,0,-1,0,0,0,0,0,28452,308700,0,28452,308700,0,False,False,0,0,0,0,10949,232544,-76156,-1,-1,-1,96.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-09,2015-12-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Portland,GENERIC ULSD-SH,73026,28452,308700,76156,1,0,3,-10002,0,76156,0,76156,73026,28452,308700,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,28452,-1,308700,-1,-3130,28452,232544,0,0,0,0,0,0,9636599,9636598,9636600,2015-12-09 22:05:36,2015-12-09 22:05:36,2015-12-09 22:05:36,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,76156,0,0,0,0,0,w1,0,-1,0,0,0,0,0,28452,308700,0,28452,308700,0,False,False,0,0,0,0,28452,232544,-76156,-1,-1,-1,85.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-10,2015-12-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Portland,GENERIC ULSD-SH,73026,28452,308700,10002,1,10002,3,-10001,10002,86158,0,86158,73026,28452,308700,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,28452,-1,308700,-1,63024,18450,222542,0,0,0,0,0,0,9678683,9678682,9678684,2015-12-10 23:50:54,2015-12-10 23:50:54,2015-12-10 23:50:54,Mansfield,Mansfield,Mansfield,0,0,1,w1,10002,0,86158,0,0,0,0,0,w1,0,-1,0,0,0,0,0,28452,308700,0,28452,308700,0,False,False,0,0,0,0,18450,222542,-86158,-1,-1,-1,87.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-11,2015-12-11 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Portland,GENERIC ULSD-SH,73026,28452,308700,30005,1,20003,3,20003,20003,106161,0,106161,73026,28452,308700,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,28452,-1,308700,-1,43021,8449,202539,0,0,0,0,0,0,9740319,9740318,9740320,2015-12-11 22:07:44,2015-12-11 22:07:44,2015-12-11 22:07:44,Mansfield,Mansfield,Mansfield,0,0,1,w1,20003,0,106161,0,0,0,0,0,w1,0,-1,0,0,0,0,0,28452,308700,0,28452,308700,0,False,False,0,0,0,0,8449,202539,-106161,-1,-1,-1,97.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-12,2015-12-12 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Portland,GENERIC ULSD-SH,73026,28452,308700,30005,1,0,3,0,0,106161,0,106161,73026,28452,308700,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,28452,-1,308700,-1,43021,28452,202539,0,0,0,0,0,0,9794579,9794578,9794580,2015-12-12 22:07:57,2015-12-12 22:07:57,2015-12-12 22:07:57,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,106161,0,0,0,0,0,w1,0,-1,0,0,0,0,0,28452,308700,0,28452,308700,0,False,False,0,0,0,0,28452,202539,-106161,-1,-1,-1,89.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-13,2015-12-13 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Portland,GENERIC ULSD-SH,73026,28452,308700,30005,1,0,3,-10001,0,106161,0,106161,73026,28452,308700,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,28452,-1,308700,-1,43021,28452,202539,0,0,0,0,0,0,9831697,9831696,9831698,2015-12-13 22:07:26,2015-12-13 22:07:26,2015-12-13 22:07:26,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,106161,0,0,0,0,0,w1,0,-1,0,0,0,0,0,28452,308700,0,28452,308700,0,False,False,0,0,0,0,28452,202539,-106161,-1,-1,-1,82.0,0.0,-1,0.0,0.0,0.0,-1,0,1
