,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,32340,12600,132300,15100,1,7500,3,100,7500,7500,0,7500,32340,12600,132300,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,10838,-1,176400,-1,17240,5100,124800,0,0,0,0,0,0,9238617,9238616,9238618,2015-12-01 22:02:55,2015-12-01 22:02:55,2015-12-01 22:02:55,Mansfield,Mansfield,Mansfield,0,0,1,w1,7500,0,7500,0,0,0,0,0,w1,0,-1,0,0,0,0,0,12600,132300,0,12600,132300,0,False,False,0,0,0,0,5100,124800,-7500,-1,-1,-1,176.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-02,2015-12-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,45522,10838,176400,22500,1,7400,3,-100,7400,14900,0,14900,45522,10838,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,5419,-1,176400,-1,23022,3438,161500,0,0,0,0,0,0,9292875,9292874,9292876,2015-12-02 22:05:35,2015-12-02 22:05:35,2015-12-02 22:05:35,Mansfield,Mansfield,Mansfield,0,0,1,w1,7400,0,14900,0,0,0,0,0,w1,0,-1,0,0,0,0,0,10838,176400,0,10838,176400,0,False,False,0,0,0,0,3438,161500,-14900,-1,-1,-1,131.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-03,2015-12-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,7587,5419,176400,7500,1,7500,3,7500,7500,22400,0,22400,7587,5419,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,5419,-1,176400,-1,87,-2081,154000,0,0,0,0,0,0,9346146,9346145,9346147,2015-12-03 22:05:34,2015-12-03 22:05:34,2015-12-03 22:05:34,Mansfield,Mansfield,Mansfield,0,0,1,w1,7500,0,22400,0,0,0,0,0,w1,0,-1,0,0,0,0,0,5419,176400,0,5419,176400,0,False,False,0,0,0,0,-2081,154000,-22400,-1,-1,-1,131.0,133.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-04,2015-12-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,7587,5419,176400,7500,1,0,3,0,0,22400,0,22400,7587,5419,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,5419,-1,176400,-1,87,5419,154000,0,0,0,0,0,0,9399768,9399767,9399769,2015-12-04 22:05:01,2015-12-04 22:05:01,2015-12-04 22:05:01,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,22400,0,0,0,0,0,w1,0,-1,0,0,0,0,0,5419,176400,0,5419,176400,0,False,False,0,0,0,0,5419,154000,-22400,-1,-1,-1,98.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-05,2015-12-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,7587,5419,176400,7500,1,0,3,0,0,22400,0,22400,7587,5419,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16257,-1,176400,-1,87,5419,154000,0,0,0,0,0,0,9451859,9451858,9451860,2015-12-05 22:05:37,2015-12-05 22:05:37,2015-12-05 22:05:37,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,22400,0,0,0,0,0,w1,0,-1,0,0,0,0,0,5419,176400,0,5419,176400,0,False,False,0,0,0,0,5419,154000,-22400,-1,-1,-1,79.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-06,2015-12-06 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,39832,16257,176400,7500,1,0,3,-7501,0,22400,0,22400,39832,16257,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16257,-1,176400,-1,32332,16257,154000,0,0,0,0,0,0,9489169,9489168,9489170,2015-12-06 22:05:27,2015-12-06 22:05:27,2015-12-06 22:05:27,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,22400,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16257,176400,0,16257,176400,0,False,False,0,0,0,0,16257,154000,-22400,-1,-1,-1,66.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-07,2015-12-07 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,39832,16257,176400,15001,1,7501,3,0,7501,29901,0,29901,39832,16257,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16257,-1,176400,-1,24831,8756,146499,0,0,0,0,0,0,9533744,9533743,9533745,2015-12-07 22:05:38,2015-12-07 22:05:38,2015-12-07 22:05:38,Mansfield,Mansfield,Mansfield,0,0,1,w1,7501,0,29901,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16257,176400,0,16257,176400,0,False,False,0,0,0,0,8756,146499,-29901,-1,-1,-1,75.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-08,2015-12-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,45522,16257,176400,22502,1,7501,3,1,7501,37402,0,37402,45522,16257,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16257,-1,176400,-1,23020,8756,138998,0,0,0,0,0,0,9585752,9585751,9585753,2015-12-08 22:06:08,2015-12-08 22:06:08,2015-12-08 22:06:08,Mansfield,Mansfield,Mansfield,0,0,1,w1,7501,0,37402,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16257,176400,0,16257,176400,0,False,False,0,0,0,0,8756,138998,-37402,-1,-1,-1,82.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-09,2015-12-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,45522,16257,176400,30002,1,7500,3,7500,7500,44902,0,44902,45522,16257,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16257,-1,176400,-1,15520,8757,131498,0,0,0,0,0,0,9636593,9636592,9636594,2015-12-09 22:05:36,2015-12-09 22:05:36,2015-12-09 22:05:36,Mansfield,Mansfield,Mansfield,0,0,1,w1,7500,0,44902,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16257,176400,0,16257,176400,0,False,False,0,0,0,0,8757,131498,-44902,-1,-1,-1,88.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-10,2015-12-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,45522,16257,176400,0,1,0,3,0,0,44902,0,44902,45522,16257,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16257,-1,176400,-1,45522,16257,131498,0,0,0,0,0,0,9678677,9678676,9678678,2015-12-10 23:50:54,2015-12-10 23:50:54,2015-12-10 23:50:54,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,44902,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16257,176400,0,16257,176400,0,False,False,0,0,0,0,16257,131498,-44902,-1,-1,-1,79.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-11,2015-12-11 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,45522,16257,176400,0,1,0,3,-7501,0,44902,0,44902,45522,16257,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16257,-1,176400,-1,45522,16257,131498,0,0,0,0,0,0,9740313,9740312,9740314,2015-12-11 22:07:44,2015-12-11 22:07:44,2015-12-11 22:07:44,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,44902,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16257,176400,0,16257,176400,0,False,False,0,0,0,0,16257,131498,-44902,-1,-1,-1,72.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-12,2015-12-12 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,45522,16257,176400,7501,1,7501,3,7501,7501,52403,0,52403,45522,16257,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16257,-1,176400,-1,38021,8756,123997,0,0,0,0,0,0,9794573,9794572,9794574,2015-12-12 22:07:57,2015-12-12 22:07:57,2015-12-12 22:07:57,Mansfield,Mansfield,Mansfield,0,0,1,w1,7501,0,52403,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16257,176400,0,16257,176400,0,False,False,0,0,0,0,8756,123997,-52403,-1,-1,-1,77.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-13,2015-12-13 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,45522,16257,176400,7501,1,0,3,-7297,0,52403,0,52403,45522,16257,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16257,-1,176400,-1,38021,16257,123997,0,0,0,0,0,0,9831691,9831690,9831692,2015-12-13 22:07:26,2015-12-13 22:07:26,2015-12-13 22:07:26,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,52403,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16257,176400,0,16257,176400,0,False,False,0,0,0,0,16257,123997,-52403,-1,-1,-1,71.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-14,2015-12-14 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,45522,16257,176400,14798,1,7297,3,-7705,7297,59700,0,59700,45522,16257,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16257,-1,176400,-1,30724,8960,116700,0,0,0,0,0,0,9914851,9914850,9914852,2015-12-14 22:14:48,2015-12-14 22:14:48,2015-12-14 22:14:48,Mansfield,Mansfield,Mansfield,0,0,1,w1,7297,0,59700,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16257,176400,0,16257,176400,0,False,False,0,0,0,0,8960,116700,-59700,-1,-1,-1,75.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-15,2015-12-15 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,45522,16257,176400,29800,1,15002,3,15002,15002,74702,0,74702,45522,16257,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16257,-1,176400,-1,15722,1255,101698,0,0,0,0,0,0,9989478,9989477,9989479,2015-12-15 22:03:41,2015-12-15 22:03:41,2015-12-15 22:03:41,Mansfield,Mansfield,Mansfield,0,0,1,w1,15002,0,74702,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16257,176400,0,16257,176400,0,False,False,0,0,0,0,1255,101698,-74702,-1,-1,-1,88.0,0.0,-1,0.0,0.0,0.0,-1,0,1
2015-12-16,2015-12-16 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,45522,16257,176400,29800,1,0,3,0,0,74702,0,74702,45522,16257,176400,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16257,-1,176400,-1,15722,16257,101698,0,0,0,0,0,0,10159178,10159177,10159179,2015-12-16 22:15:08,2015-12-16 22:15:08,2015-12-16 22:15:08,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,74702,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16257,176400,0,16257,176400,0,False,False,0,0,0,0,16257,101698,-74702,-1,-1,-1,82.0,0.0,-1,0.0,0.0,0.0,-1,0,1
