,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,customer_name,date
0,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Custom,10,2015-11-01 22:06:17,7363910,Mansfield,2015-11-01
1,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Daily,10,2015-11-01 22:06:17,7363909,Mansfield,2015-11-01
2,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Monthly,10,2015-11-01 22:06:17,7363911,Mansfield,2015-11-01
3,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Custom,8,2015-11-02 22:05:42,7413533,Mansfield,2015-11-02
4,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Daily,8,2015-11-02 22:05:42,7413532,Mansfield,2015-11-02
5,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Monthly,8,2015-11-02 22:05:42,7413534,Mansfield,2015-11-02
6,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Custom,12,2015-11-03 22:05:33,7474748,Mansfield,2015-11-03
7,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Daily,12,2015-11-03 22:05:33,7474747,Mansfield,2015-11-03
8,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Monthly,12,2015-11-03 22:05:33,7474749,Mansfield,2015-11-03
9,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Custom,38,2015-11-04 23:36:33,7698687,Mansfield,2015-11-04
10,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Daily,38,2015-11-04 23:36:33,7698686,Mansfield,2015-11-04
11,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Monthly,38,2015-11-04 23:36:33,7698688,Mansfield,2015-11-04
12,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Custom,27,2015-11-05 22:05:06,7836170,Mansfield,2015-11-05
13,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Daily,27,2015-11-05 22:05:06,7836169,Mansfield,2015-11-05
14,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Monthly,27,2015-11-05 22:05:06,7836171,Mansfield,2015-11-05
15,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Custom,10,2015-11-06 22:06:36,7884508,Mansfield,2015-11-06
16,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Daily,10,2015-11-06 22:06:36,7884507,Mansfield,2015-11-06
17,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Monthly,10,2015-11-06 22:06:36,7884509,Mansfield,2015-11-06
18,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Custom,10,2015-11-07 22:05:15,7927943,Mansfield,2015-11-07
19,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Daily,10,2015-11-07 22:05:15,7927942,Mansfield,2015-11-07
20,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Monthly,10,2015-11-07 22:05:15,7927944,Mansfield,2015-11-07
21,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Custom,10,2015-11-08 22:05:38,7976357,Mansfield,2015-11-08
22,Shell,Contract,,Unknown,,MANSFIELD OIL COMPANY OF 12313997,0,0,ATLANTA MAGELLAN,0,0,0,0,,,GENERIC ULSD-SH,Daily,10,2015-11-08 22:05:38,7976356,Mansfield,2015-11-08
