,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,26813,724500,45000,1,15000,3,15000,15000,15000,0,15000,187500,26813,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,26813,-1,724500,-1,142500,11813,709500,0,0,0,0,0,0,11388860,11388859,11388861,2016-01-01 22:14:04,2016-01-01 22:14:04,2016-01-01 22:14:04,Mansfield,Mansfield,Mansfield,0,0,1,w1,15000,0,15000,0,0,0,0,0,w1,0,-1,0,0,0,0,0,26813,724500,0,26813,724500,0,False,True,15000,True,15000,True,11813,709500,-15000,-1,-1,-1,64.0,0.0,-1,0.0,0.0,0.0,0.0,1,1
2016-01-02,2016-01-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,26813,724500,45000,1,0,3,0,0,15000,0,15000,187500,26813,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,26813,-1,724500,-1,142500,26813,709500,0,0,0,0,0,0,11440924,11440923,11440925,2016-01-02 22:13:10,2016-01-02 22:13:10,2016-01-02 22:13:10,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,15000,0,0,0,0,0,w1,0,-1,0,0,0,0,0,26813,724500,0,26813,724500,0,False,True,15000,True,15000,True,26813,709500,-15000,-1,-1,-1,32.0,0.0,-1,0.0,0.0,0.0,0.0,1,1
2016-01-03,2016-01-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,26813,724500,45000,1,0,3,-22003,0,15000,0,15000,187500,26813,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,26813,-1,724500,-1,142500,26813,709500,0,0,0,0,0,0,11494003,11494002,11494004,2016-01-03 22:09:39,2016-01-03 22:09:39,2016-01-03 22:09:39,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,15000,0,0,0,0,0,w1,0,-1,0,0,0,0,0,26813,724500,0,26813,724500,0,False,True,15000,True,15000,True,26813,709500,-15000,-1,-1,-1,21.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-04,2016-01-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,26813,724500,67003,1,22003,3,-499,22003,37003,0,37003,187500,26813,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,26813,-1,724500,-1,120497,4810,687497,0,0,0,0,0,0,11615955,11615954,11615956,2016-01-04 22:19:01,2016-01-04 22:19:01,2016-01-04 22:19:01,Mansfield,Mansfield,Mansfield,0,0,1,w1,22003,0,37003,0,0,0,0,0,w1,0,-1,0,0,0,0,0,26813,724500,0,26813,724500,0,False,True,37003,True,37003,True,4810,687497,-37003,-1,-1,-1,40.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-05,2016-01-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,26813,724500,89505,1,22502,3,1,22502,59505,0,59505,187500,26813,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,97995,4311,664995,0,0,0,0,0,0,11791328,11791327,11791329,2016-01-05 22:13:33,2016-01-05 22:13:33,2016-01-05 22:13:33,Mansfield,Mansfield,Mansfield,0,0,1,w1,22502,0,59505,0,0,0,0,0,w1,0,-1,0,0,0,0,0,26813,724500,0,26813,724500,0,False,True,59505,True,59505,True,4311,664995,-59505,-1,-1,-1,51.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-06,2016-01-06 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,112006,1,22501,3,-14999,22501,82006,0,82006,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,0,8602,642494,0,0,0,0,0,0,11944385,11944384,11944386,2016-01-06 22:17:12,2016-01-06 22:17:12,2016-01-06 22:17:12,Mansfield,Mansfield,Mansfield,0,0,1,w1,22501,0,82006,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,False,True,82006,True,82006,True,8602,642494,-82006,-1,-1,-1,58.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-07,2016-01-07 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,37500,1,37500,3,15775,37500,119506,0,119506,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,0,-6397,604994,0,0,0,0,0,0,12104665,12104664,12104666,2016-01-07 22:13:41,2016-01-07 22:13:41,2016-01-07 22:13:41,Mansfield,Mansfield,Mansfield,0,0,1,w1,37500,0,119506,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,False,True,119506,True,119506,True,-6397,604994,-119506,-1,-1,-1,73.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-08,2016-01-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,59225,1,21725,3,6725,21725,141231,0,141231,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,0,9378,583269,0,0,0,0,0,0,12254834,12254833,12254835,2016-01-08 22:12:34,2016-01-08 22:12:34,2016-01-08 22:12:34,Mansfield,Mansfield,Mansfield,0,0,1,w1,21725,0,141231,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,True,True,141231,True,141231,True,9378,583269,-141231,-1,-1,-1,76.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-09,2016-01-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,74225,1,15000,3,13600,15000,156231,0,156231,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,0,16103,568269,0,0,0,0,0,0,12411704,12411703,12411705,2016-01-09 22:12:37,2016-01-09 22:12:37,2016-01-09 22:12:37,Mansfield,Mansfield,Mansfield,0,0,1,w1,15000,0,156231,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,False,True,156231,True,156231,True,16103,568269,-156231,-1,-1,-1,74.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-10,2016-01-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,75625,1,1400,3,-17600,1400,157631,0,157631,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,0,29703,566869,0,0,0,0,0,0,12566814,12566813,12566815,2016-01-10 23:51:04,2016-01-10 23:51:04,2016-01-10 23:51:04,Mansfield,Mansfield,Mansfield,0,0,1,w1,1400,0,157631,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,False,True,157631,True,157631,True,29703,566869,-157631,-1,-1,-1,67.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-11,2016-01-11 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,94625,1,19000,3,-4352,19000,176631,0,176631,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,0,12103,547869,0,0,0,0,0,0,12714496,12714495,12714497,2016-01-11 22:10:17,2016-01-11 22:10:17,2016-01-11 22:10:17,Mansfield,Mansfield,Mansfield,0,0,1,w1,19000,0,176631,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,False,True,176631,True,176631,True,12103,547869,-176631,-1,-1,-1,69.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-12,2016-01-12 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,117977,1,23352,3,-6650,23352,199983,0,199983,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,0,7751,524517,0,0,0,0,0,0,12861715,12861714,12861716,2016-01-12 22:11:59,2016-01-12 22:11:59,2016-01-12 22:11:59,Mansfield,Mansfield,Mansfield,0,0,1,w1,23352,0,199983,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,False,True,199983,True,199983,True,7751,524517,-199983,-1,-1,-1,71.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-13,2016-01-13 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,147979,1,30002,3,22501,30002,229985,0,229985,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,0,1101,494515,0,0,0,0,0,0,12927489,12927488,12927490,2016-01-13 22:09:43,2016-01-13 22:09:43,2016-01-13 22:09:43,Mansfield,Mansfield,Mansfield,0,0,1,w1,30002,0,229985,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,False,True,229985,True,229985,True,1101,494515,-229985,-1,-1,-1,76.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-14,2016-01-14 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,7501,1,7501,3,-22301,7501,237486,0,237486,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,0,23602,487014,0,0,0,0,0,0,13017831,13017830,13017832,2016-01-14 22:08:08,2016-01-14 22:08:08,2016-01-14 22:08:08,Mansfield,Mansfield,Mansfield,0,0,1,w1,7501,0,237486,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,False,True,237486,True,237486,True,23602,487014,-237486,-1,-1,-1,73.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-15,2016-01-15 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,37303,1,29802,3,7302,29802,267288,0,267288,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,0,1301,457212,0,0,0,0,0,0,13076296,13076295,13076297,2016-01-15 23:29:01,2016-01-15 23:29:01,2016-01-15 23:29:01,Mansfield,Mansfield,Mansfield,0,0,1,w1,29802,0,267288,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,False,True,267288,True,267288,True,1301,457212,-267288,-1,-1,-1,76.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-16,2016-01-16 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,59803,1,22500,3,22500,22500,289788,0,289788,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,0,8603,434712,0,0,0,0,0,0,13260467,13260466,13260468,2016-01-16 22:21:36,2016-01-16 22:21:36,2016-01-16 22:21:36,Mansfield,Mansfield,Mansfield,0,0,1,w1,22500,0,289788,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,False,True,289788,True,289788,True,8603,434712,-289788,-1,-1,-1,77.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-17,2016-01-17 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,59803,1,0,3,-19300,0,289788,0,289788,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,0,31103,434712,0,0,0,0,0,0,13421462,13421461,13421463,2016-01-17 22:15:53,2016-01-17 22:15:53,2016-01-17 22:15:53,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,289788,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,False,True,289788,True,289788,True,31103,434712,-289788,-1,-1,-1,73.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-18,2016-01-18 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,79103,1,19300,3,-3200,19300,309088,0,309088,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,0,11803,415412,0,0,0,0,0,0,13503566,13503565,13503567,2016-01-18 22:09:48,2016-01-18 22:09:48,2016-01-18 22:09:48,Mansfield,Mansfield,Mansfield,0,0,1,w1,19300,0,309088,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,False,True,309088,True,309088,True,11803,415412,-309088,-1,-1,-1,73.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-19,2016-01-19 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,101603,1,22500,3,7500,22500,331588,0,331588,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103,-1,724500,-1,0,8603,392912,0,0,0,0,0,0,124378,124377,124379,2016-01-19 22:43:35,2016-01-19 22:43:35,2016-01-19 22:43:35,Mansfield,Mansfield,Mansfield,0,0,1,w1,22500,0,331588,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,True,True,331588,True,331588,True,8603,392912,-331588,-1,-1,-1,75.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-20,2016-01-20 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,31103,724500,116603,1,15000,3,-22504,15000,346588,0,346588,0,31103,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,26813,-1,724500,-1,0,16103,377912,0,0,0,0,0,0,259423,259422,259424,2016-01-20 22:07:13,2016-01-20 22:07:13,2016-01-20 22:07:13,Mansfield,Mansfield,Mansfield,0,0,1,w1,15000,0,346588,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103,724500,0,31103,724500,0,False,True,346588,True,346588,True,16103,377912,-346588,-1,-1,-1,74.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-21,2016-01-21 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,26813,724500,37504,1,37504,3,7504,37504,384092,0,384092,0,26813,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,26813,-1,724500,-1,0,-10691,340408,0,0,0,0,0,0,401016,401015,401017,2016-01-21 22:10:56,2016-01-21 22:10:56,2016-01-21 22:10:56,Mansfield,Mansfield,Mansfield,0,0,1,w1,37504,0,384092,0,0,0,0,0,w1,0,-1,0,0,0,0,0,26813,724500,0,26813,724500,0,False,True,384092,True,384092,True,-10691,340408,-384092,-1,-1,-1,78.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2016-01-22,2016-01-22 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,0,26813,724500,67504,1,30000,3,-2527,30000,414092,0,414092,0,26813,724500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,26813,-1,724500,-1,0,-3187,310408,0,0,0,0,0,0,559914,559913,559915,2016-01-22 22:08:39,2016-01-22 22:08:39,2016-01-22 22:08:39,Mansfield,Mansfield,Mansfield,0,0,1,w1,30000,0,414092,0,0,0,0,0,w1,0,-1,0,0,0,0,0,26813,724500,0,26813,724500,0,False,True,414092,True,414092,True,-3187,310408,-414092,-1,-1,-1,81.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
