,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,16572.0,348600.0,54005,1,7500,3,-7001,7500,7500,0,7500,80006.0,16572.0,348600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16572.0,-1,348600.0,-1,26001.0,9072.0,341100.0,0.0,0.0,0.0,0.0,0.0,0.0,1192320,1192319,1192321,2015-07-01 22:02:23,2015-07-01 22:02:23,2015-07-01 22:02:23,Mansfield,Mansfield,Mansfield,0,0,1,w1,7500,0,7500,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16572,348600,0,16572,348600,0,False,False,7500,True,7500,True,9072,341100,-7500,-1,-1,-1,67.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-02,2015-07-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,16572.0,348600.0,14501,1,14501,3,6500,14501,22001,0,22001,80006.0,16572.0,348600.0,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16572.0,-1,348600.0,-1,65505.0,2071.0,326599.0,0.0,0.0,0.0,0.0,0.0,0.0,1233632,1233631,1233633,2015-07-02 22:01:59,2015-07-02 22:01:59,2015-07-02 22:01:59,Mansfield,Mansfield,Mansfield,0,0,1,w1,14501,0,22001,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16572,348600,0,16572,348600,0,False,False,22001,True,22001,True,2071,326599,-22001,-1,-1,-1,98.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-03,2015-07-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,16572.0,348600.0,22502,1,16001,3,8001,8001,30002,0,30002,80006.0,16572.0,348600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16572.0,-1,348600.0,-1,57504.0,8571.0,318598.0,0.0,0.0,0.0,0.0,0.0,0.0,1240189,1240188,1240190,2015-07-03 08:55:48,2015-07-03 08:55:48,2015-07-03 08:55:48,Mansfield,Mansfield,Mansfield,0,0,1,w1,8001,0,38002,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16572,348600,0,16572,348600,0,False,False,38002,True,38002,True,571,318598,-38002,-1,-1,-1,89.0,0.0,-1,0.0,0.0,0.0,0.0,0,0
2015-07-04,2015-07-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,16572.0,348600.0,30502,1,0,3,0,0,38002,0,38002,80006.0,16572.0,348600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16572.0,-1,348600.0,-1,49504.0,16572.0,310598.0,0.0,0.0,0.0,0.0,0.0,0.0,1250837,1250836,1250838,2015-07-04 08:02:17,2015-07-04 08:02:17,2015-07-04 08:02:17,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,38002,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16572,348600,0,16572,348600,0,False,False,38002,True,38002,True,16572,310598,-38002,-1,-1,-1,84.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-05,2015-07-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,16572.0,348600.0,30502,1,0,3,-7200,0,38002,0,38002,80006.0,16572.0,348600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16572.0,-1,348600.0,-1,49504.0,16572.0,310598.0,0.0,0.0,0.0,0.0,0.0,0.0,1261209,1261208,1261210,2015-07-05 08:02:19,2015-07-05 08:02:19,2015-07-05 08:02:19,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,38002,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16572,348600,0,16572,348600,0,False,False,38002,True,38002,True,16572,310598,-38002,-1,-1,-1,68.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-06,2015-07-06 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,16572.0,348600.0,37702,1,7200,3,-300,7200,45202,0,45202,80006.0,16572.0,348600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16572.0,-1,348600.0,-1,42304.0,9372.0,303398.0,0.0,0.0,0.0,0.0,0.0,0.0,1271581,1271580,1271582,2015-07-06 08:03:10,2015-07-06 08:03:10,2015-07-06 08:03:10,Mansfield,Mansfield,Mansfield,0,0,1,w1,7200,0,45202,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16572,348600,0,16572,348600,0,False,False,45202,True,45202,True,9372,303398,-45202,-1,-1,-1,67.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-07,2015-07-07 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,16572.0,348600.0,45202,1,7500,3,-8000,7500,52702,0,52702,80006.0,16572.0,348600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16572.0,-1,348600.0,-1,34804.0,9072.0,295898.0,0.0,0.0,0.0,0.0,0.0,0.0,1292742,1292741,1292743,2015-07-07 22:03:08,2015-07-07 22:03:08,2015-07-07 22:03:08,Mansfield,Mansfield,Mansfield,0,0,1,w1,7500,0,52702,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16572,348600,0,16572,348600,0,False,False,52702,True,52702,True,9072,295898,-52702,-1,-1,-1,67.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-08,2015-07-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,16572.0,348600.0,60702,1,15500,3,-7500,15500,68202,0,68202,80006.0,16572.0,348600.0,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16572.0,-1,348600.0,-1,19304.0,1072.0,280398.0,0.0,0.0,0.0,0.0,0.0,0.0,1317376,1317375,1317377,2015-07-08 22:02:47,2015-07-08 22:02:47,2015-07-08 22:02:47,Mansfield,Mansfield,Mansfield,0,0,1,w1,15500,0,68202,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16572,348600,0,16572,348600,0,False,False,68202,True,68202,True,1072,280398,-68202,-1,-1,-1,76.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-09,2015-07-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,16572.0,348600.0,23000,1,23000,3,8000,23000,91202,0,91202,80006.0,16572.0,348600.0,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16572.0,-1,348600.0,-1,57006.0,-6428.0,257398.0,0.0,0.0,0.0,0.0,0.0,0.0,1327374,1327373,1327375,2015-07-09 22:01:12,2015-07-09 22:01:12,2015-07-09 22:01:12,Mansfield,Mansfield,Mansfield,0,0,1,w1,23000,0,91202,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16572,348600,0,16572,348600,0,False,False,91202,True,91202,True,-6428,257398,-91202,-1,-1,-1,90.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-10,2015-07-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,16572.0,348600.0,38000,1,15000,3,15000,15000,106202,0,106202,80006.0,16572.0,348600.0,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16572.0,-1,348600.0,-1,42006.0,1572.0,242398.0,0.0,0.0,0.0,0.0,0.0,0.0,1373544,1373543,1373545,2015-07-10 22:03:12,2015-07-10 22:03:12,2015-07-10 22:03:12,Mansfield,Mansfield,Mansfield,0,0,1,w1,15000,0,106202,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16572,348600,0,16572,348600,0,False,False,106202,True,106202,True,1572,242398,-106202,-1,-1,-1,94.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
