,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Martinez,GENERIC ULSD-SH,29400.0,8000.0,100800.0,30001,1,7500,3,7500,7500,7500,0,7500,29400.0,8000.0,100800.0,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8000.0,-1,126000.0,-1,-601.0,500.0,93300.0,0.0,0.0,0.0,0.0,0.0,0.0,1192413,1192412,1192414,2015-07-01 22:02:23,2015-07-01 22:02:23,2015-07-01 22:02:23,Mansfield,Mansfield,Mansfield,0,0,1,w1,7500,0,7500,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8000,100800,0,8000,100800,0,False,False,7500,True,7500,True,500,93300,-7500,-1,-1,-1,231.0,0.0,-1,0.0,0.0,0.0,0.0,1,1
2015-07-02,2015-07-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Martinez,GENERIC ULSD-SH,23700.0,8000.0,126000.0,0,1,0,3,0,0,7500,0,7500,23700.0,8000.0,126000.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8000.0,-1,126000.0,-1,23700.0,8000.0,118500.0,0.0,0.0,0.0,0.0,0.0,0.0,1233728,1233727,1233729,2015-07-02 22:01:59,2015-07-02 22:01:59,2015-07-02 22:01:59,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,7500,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8000,126000,0,8000,126000,0,False,False,7500,True,7500,True,8000,118500,-7500,-1,-1,-1,92.0,0.0,-1,0.0,0.0,0.0,0.0,1,1
2015-07-03,2015-07-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Martinez,GENERIC ULSD-SH,23700.0,8000.0,126000.0,0,1,0,3,0,0,7500,0,7500,23700.0,8000.0,126000.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8000.0,-1,126000.0,-1,23700.0,8000.0,118500.0,0.0,0.0,0.0,0.0,0.0,0.0,1240282,1240281,1240283,2015-07-03 08:55:48,2015-07-03 08:55:48,2015-07-03 08:55:48,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,7500,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8000,126000,0,8000,126000,0,False,False,7500,True,7500,True,8000,118500,-7500,-1,-1,-1,62.0,0.0,-1,0.0,0.0,0.0,0.0,1,1
2015-07-04,2015-07-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Martinez,GENERIC ULSD-SH,23700.0,8000.0,126000.0,0,1,0,3,0,0,7500,0,7500,23700.0,8000.0,126000.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8000.0,-1,126000.0,-1,23700.0,8000.0,118500.0,0.0,0.0,0.0,0.0,0.0,0.0,1250933,1250932,1250934,2015-07-04 08:02:17,2015-07-04 08:02:17,2015-07-04 08:02:17,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,7500,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8000,126000,0,8000,126000,0,False,False,7500,True,7500,True,8000,118500,-7500,-1,-1,-1,46.0,0.0,-1,0.0,0.0,0.0,0.0,1,1
2015-07-05,2015-07-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Martinez,GENERIC ULSD-SH,23700.0,8000.0,126000.0,0,1,0,3,0,0,7500,0,7500,23700.0,8000.0,126000.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8000.0,-1,126000.0,-1,23700.0,8000.0,118500.0,0.0,0.0,0.0,0.0,0.0,0.0,1261305,1261304,1261306,2015-07-05 08:02:19,2015-07-05 08:02:19,2015-07-05 08:02:19,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,7500,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8000,126000,0,8000,126000,0,False,False,7500,True,7500,True,8000,118500,-7500,-1,-1,-1,37.0,0.0,-1,0.0,0.0,0.0,0.0,1,1
2015-07-06,2015-07-06 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Martinez,GENERIC ULSD-SH,23700.0,8000.0,126000.0,0,1,0,3,-7500,0,7500,0,7500,23700.0,8000.0,126000.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8000.0,-1,126000.0,-1,23700.0,8000.0,118500.0,0.0,0.0,0.0,0.0,0.0,0.0,1271677,1271676,1271678,2015-07-06 08:03:10,2015-07-06 08:03:10,2015-07-06 08:03:10,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,7500,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8000,126000,0,8000,126000,0,False,False,7500,True,7500,True,8000,118500,-7500,-1,-1,-1,31.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-07,2015-07-07 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Martinez,GENERIC ULSD-SH,23700.0,8000.0,126000.0,7500,1,7500,3,0,7500,15000,0,15000,23700.0,8000.0,126000.0,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8000.0,-1,126000.0,-1,16200.0,500.0,111000.0,0.0,0.0,0.0,0.0,0.0,0.0,1292835,1292834,1292836,2015-07-07 22:03:08,2015-07-07 22:03:08,2015-07-07 22:03:08,Mansfield,Mansfield,Mansfield,0,0,1,w1,7500,0,15000,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8000,126000,0,8000,126000,0,False,False,15000,True,15000,True,500,111000,-15000,-1,-1,-1,53.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-08,2015-07-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Martinez,GENERIC ULSD-SH,23700.0,8000.0,126000.0,15000,1,7500,3,7500,7500,22500,0,22500,23700.0,8000.0,126000.0,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8000.0,-1,126000.0,-1,8700.0,500.0,103500.0,0.0,0.0,0.0,0.0,0.0,0.0,1317472,1317471,1317473,2015-07-08 22:02:47,2015-07-08 22:02:47,2015-07-08 22:02:47,Mansfield,Mansfield,Mansfield,0,0,1,w1,7500,0,22500,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8000,126000,0,8000,126000,0,False,False,22500,True,22500,True,500,103500,-22500,-1,-1,-1,69.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-09,2015-07-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Martinez,GENERIC ULSD-SH,23700.0,8000.0,126000.0,0,1,0,3,-7500,0,22500,0,22500,23700.0,8000.0,126000.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8000.0,-1,126000.0,-1,23700.0,8000.0,103500.0,0.0,0.0,0.0,0.0,0.0,0.0,1327470,1327469,1327471,2015-07-09 22:01:12,2015-07-09 22:01:12,2015-07-09 22:01:12,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,22500,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8000,126000,0,8000,126000,0,False,False,22500,True,22500,True,8000,103500,-22500,-1,-1,-1,62.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-10,2015-07-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Martinez,GENERIC ULSD-SH,23700.0,8000.0,126000.0,7500,1,7500,3,7500,7500,30000,0,30000,23700.0,8000.0,126000.0,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,8000.0,-1,126000.0,-1,16200.0,500.0,96000.0,0.0,0.0,0.0,0.0,0.0,0.0,1373640,1373639,1373641,2015-07-10 22:03:12,2015-07-10 22:03:12,2015-07-10 22:03:12,Mansfield,Mansfield,Mansfield,0,0,1,w1,7500,0,30000,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8000,126000,0,8000,126000,0,False,False,30000,True,30000,True,500,96000,-30000,-1,-1,-1,74.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
