,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,24500.0,16000.0,92400.0,15201,1,0,3,-7601,0,0,0,0,24500.0,16000.0,92400.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16000.0,-1,138600.0,-1,9299.0,16000.0,92400.0,0.0,0.0,0.0,0.0,0.0,0.0,1192422,1192421,1192423,2015-07-01 22:02:23,2015-07-01 22:02:23,2015-07-01 22:02:23,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16000,92400,0,16000,92400,0,False,False,0,True,0,True,16000,92400,0,-1,-1,-1,-1.0,0.0,-1,0.0,0.0,0.0,-1.0,0,1
2015-07-02,2015-07-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,28500.0,16000.0,138600.0,7601,1,7601,3,7601,7601,7601,0,7601,28500.0,16000.0,138600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16000.0,-1,138600.0,-1,20899.0,8399.0,130999.0,0.0,0.0,0.0,0.0,0.0,0.0,1233737,1233736,1233738,2015-07-02 22:01:59,2015-07-02 22:01:59,2015-07-02 22:01:59,Mansfield,Mansfield,Mansfield,0,0,1,w1,7601,0,7601,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16000,138600,0,16000,138600,0,False,False,7601,True,7601,True,8399,130999,-7601,-1,-1,-1,85.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-03,2015-07-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,28500.0,16000.0,138600.0,7601,1,0,3,0,0,7601,0,7601,28500.0,16000.0,138600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16000.0,-1,138600.0,-1,20899.0,16000.0,130999.0,0.0,0.0,0.0,0.0,0.0,0.0,1240291,1240290,1240292,2015-07-03 08:55:48,2015-07-03 08:55:48,2015-07-03 08:55:48,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,7601,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16000,138600,0,16000,138600,0,False,False,7601,True,7601,True,16000,130999,-7601,-1,-1,-1,57.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-04,2015-07-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,28500.0,16000.0,138600.0,7601,1,0,3,0,0,7601,0,7601,28500.0,16000.0,138600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16000.0,-1,138600.0,-1,20899.0,16000.0,130999.0,0.0,0.0,0.0,0.0,0.0,0.0,1250942,1250941,1250943,2015-07-04 08:02:17,2015-07-04 08:02:17,2015-07-04 08:02:17,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,7601,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16000,138600,0,16000,138600,0,False,False,7601,True,7601,True,16000,130999,-7601,-1,-1,-1,43.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-05,2015-07-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,28500.0,16000.0,138600.0,7601,1,0,3,0,0,7601,0,7601,28500.0,16000.0,138600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16000.0,-1,138600.0,-1,20899.0,16000.0,130999.0,0.0,0.0,0.0,0.0,0.0,0.0,1261314,1261313,1261315,2015-07-05 08:02:19,2015-07-05 08:02:19,2015-07-05 08:02:19,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,7601,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16000,138600,0,16000,138600,0,False,False,7601,True,7601,True,16000,130999,-7601,-1,-1,-1,34.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-06,2015-07-06 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,28500.0,16000.0,138600.0,7601,1,0,3,-7600,0,7601,0,7601,28500.0,16000.0,138600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16000.0,-1,138600.0,-1,20899.0,16000.0,130999.0,0.0,0.0,0.0,0.0,0.0,0.0,1271686,1271685,1271687,2015-07-06 08:03:10,2015-07-06 08:03:10,2015-07-06 08:03:10,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,7601,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16000,138600,0,16000,138600,0,False,False,7601,True,7601,True,16000,130999,-7601,-1,-1,-1,28.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-07,2015-07-07 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,28500.0,16000.0,138600.0,15201,1,7600,3,7600,7600,15201,0,15201,28500.0,16000.0,138600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16000.0,-1,138600.0,-1,13299.0,8400.0,123399.0,0.0,0.0,0.0,0.0,0.0,0.0,1292844,1292843,1292845,2015-07-07 22:03:08,2015-07-07 22:03:08,2015-07-07 22:03:08,Mansfield,Mansfield,Mansfield,0,0,1,w1,7600,0,15201,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16000,138600,0,16000,138600,0,False,False,15201,True,15201,True,8400,123399,-15201,-1,-1,-1,49.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-08,2015-07-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,28500.0,16000.0,138600.0,15201,1,0,3,-7497,0,15201,0,15201,28500.0,16000.0,138600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16000.0,-1,138600.0,-1,13299.0,16000.0,123399.0,0.0,0.0,0.0,0.0,0.0,0.0,1317481,1317480,1317482,2015-07-08 22:02:47,2015-07-08 22:02:47,2015-07-08 22:02:47,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,15201,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16000,138600,0,16000,138600,0,False,False,15201,True,15201,True,16000,123399,-15201,-1,-1,-1,42.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-09,2015-07-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,28500.0,16000.0,138600.0,7497,1,7497,3,-4,7497,22698,0,22698,28500.0,16000.0,138600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16000.0,-1,138600.0,-1,21003.0,8503.0,115902.0,0.0,0.0,0.0,0.0,0.0,0.0,1327479,1327478,1327480,2015-07-09 22:01:12,2015-07-09 22:01:12,2015-07-09 22:01:12,Mansfield,Mansfield,Mansfield,0,0,1,w1,7497,0,22698,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16000,138600,0,16000,138600,0,False,False,22698,True,22698,True,8503,115902,-22698,-1,-1,-1,56.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-07-10,2015-07-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,28500.0,16000.0,138600.0,14998,1,7501,3,7501,7501,30199,0,30199,28500.0,16000.0,138600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16000.0,-1,138600.0,-1,13502.0,8499.0,108401.0,0.0,0.0,0.0,0.0,0.0,0.0,1373649,1373648,1373650,2015-07-10 22:03:12,2015-07-10 22:03:12,2015-07-10 22:03:12,Mansfield,Mansfield,Mansfield,0,0,1,w1,7501,0,30199,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16000,138600,0,16000,138600,0,False,False,30199,True,30199,True,8499,108401,-30199,-1,-1,-1,68.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
