,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Baltimore,GENERIC ULSD-SH,-1.0,84000.0,-1.0,114958,1,0,3,0,0,0,0,0,-1.0,84000.0,-1.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,27388.0,-1,666125.0,-1,-1.0,84000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,192011,192010,192012,2015-06-01 05:53:31,2015-06-01 05:53:31,2015-06-01 05:53:31,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,84000.0,-1.0,0,84000.0,-1.0,0,True,True,0,0,0,0,84000,-1,0,-1,-1,-1,-1.0,,-1,0.0,0.0,0.0,-1,1,1
2015-06-02,2015-06-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Baltimore,GENERIC ULSD-SH,152051.0,27388.0,666125.0,114958,1,0,3,-36733,0,0,0,0,152051.0,27388.0,666125.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,27388.0,-1,666125.0,-1,37093.0,27388.0,666125.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,197187,197186,197188,2015-06-02 02:06:12,2015-06-02 02:06:12,2015-06-02 02:06:12,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,27388.0,666125.0,0,27388.0,666125.0,0,False,True,0,0,0,0,27388,666125,0,-1,-1,-1,-1.0,,-1,0.0,0.0,0.0,-1,0,1
2015-06-03,2015-06-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Baltimore,GENERIC ULSD-SH,152051.0,27388.0,666125.0,151691,1,43733,3,36733,36733,36733,0,36733,152051.0,27388.0,666125.0,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,27388.0,-1,666125.0,-1,360.0,-9345.0,629392.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,204799,204798,204800,2015-06-03 01:49:20,2015-06-03 01:49:20,2015-06-03 01:49:20,Mansfield,Mansfield,Mansfield,0,0,1,w1,36733,0,43733,0,0,0,0,0,w1,0,-1,0,0,0,0,0,27388.0,666125.0,0,27388.0,666125.0,0,True,True,0,0,0,0,-16345,629392,-43733,-1,-1,-1,55.0,inf,-1,0.0,0.0,0.0,-1,0,0
2015-06-04,2015-06-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Baltimore,GENERIC ULSD-SH,152051.0,27388.0,666125.0,0,3,-73734,3,-30001,0,43733,0,43733,152051.0,27388.0,666125.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,57387.0,-1,666125.0,-1,152051.0,27388.0,622392.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,210366,210365,210367,2015-06-04 06:12:54,2015-06-04 06:12:54,2015-06-04 06:12:54,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,43733,0,0,0,0,0,w1,0,-1,0,0,0,0,0,27388.0,666125.0,0,27388.0,666125.0,0,False,False,0,0,0,0,101122,622392,-43733,-1,-1,-1,49.0,-1077.0,-1,0.0,0.0,0.0,-1,0,0
2015-06-05,2015-06-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Baltimore,GENERIC ULSD-SH,152051.0,57387.0,666125.0,30001,0,30001,0,30001,30001,73734,0,73734,152051.0,57387.0,666125.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,-1.0,-1,-1.0,-1,122050.0,27386.0,592391.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,214977,214976,214978,2015-06-05 00:46:19,2015-06-05 00:46:19,2015-06-05 00:46:19,Mansfield,Mansfield,Mansfield,0,0,0,w1,30001,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,57387.0,666125.0,0,57387.0,666125.0,0,True,True,0,0,0,0,27386,592391,0,-1,-1,-1,66.0,inf,-1,0.0,0.0,0.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,0,-1,0,-1,-1,-1,0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,-1,-1,0,w2,-1,0,-1,-1,-1,-1,0,-1,w1,0,-1,-1,-1,-1,-1,2015-06-06 00:00:00,57387.0,666125.0,0,57387.0,666125.0,0,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,0.0,0.0,0.0,-1,1,1
2015-06-07,2015-06-07 00:00:00,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,0,-1,0,-1,-1,-1,0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42388.0,-1,666125.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,0,w2,-1,0,-1,-1,-1,-1,0,-1,w1,0,-1,-1,-1,-1,-1,2015-06-07 00:00:00,-1.0,-1.0,-1,-1.0,-1.0,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Baltimore,GENERIC ULSD-SH,212051.0,42388.0,666125.0,126807,1,0,3,-14521,22502,170540,0,170540,212051.0,42388.0,666125.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,42388.0,-1,666125.0,-1,85244.0,19886.0,495585.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,225813,225812,225814,2015-06-08 12:50:20,2015-06-08 12:50:20,2015-06-08 12:50:20,Mansfield,Mansfield,Mansfield,0,0,0,w2,22502,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,42388.0,666125.0,0,42388.0,666125.0,0,False,False,0,0,0,0,42388,495585,0,-1,-1,-1,96.0,0.0,-1,0.0,0.0,0.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Baltimore,GENERIC ULSD-SH,212051.0,42388.0,666125.0,141328,1,65624,3,7703,37023,185061,0,185061,212051.0,42388.0,666125.0,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,27388.0,-1,666125.0,-1,70723.0,5365.0,481064.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,230279,230278,230280,2015-06-09 01:09:53,2015-06-09 01:09:53,2015-06-09 01:09:53,Mansfield,Mansfield,Mansfield,0,0,1,w2,37023,0,65624,0,0,0,0,0,w1,0,-1,0,0,0,0,0,42388.0,666125.0,0,42388.0,666125.0,0,False,False,0,0,0,0,-23236,481064,-65624,-1,-1,-1,93.0,inf,-1,0.0,0.0,0.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Baltimore,GENERIC ULSD-SH,212051.0,27388.0,666125.0,199249,1,29320,3,5730,29320,242982,0,242982,212051.0,27388.0,666125.0,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,27388.0,-1,666125.0,-1,12802.0,-1932.0,423143.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,243918,243917,243919,2015-06-10 16:28:21,2015-06-10 16:28:21,2015-06-10 16:28:21,Mansfield,Mansfield,Mansfield,0,0,1,w2,29320,0,94944,0,0,0,0,0,w1,0,-1,0,0,0,0,0,27388.0,666125.0,0,27388.0,666125.0,0,False,False,0,0,0,0,-1932,423143,-94944,-1,-1,-1,109.0,214.0,-1,0.0,0.0,0.0,-1,0,0
