,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,172500.0,31103.0,724500.0,77942,1,0,3,-31452,0,0,0,0,172500.0,31103.0,724500.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103.0,-1,724500.0,-1,94558.0,31103.0,724500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,191981,191980,191982,2015-06-01 05:53:31,2015-06-01 05:53:31,2015-06-01 05:53:31,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103.0,724500.0,0,31103.0,724500.0,0,False,True,0,0,0,0,31103,724500,0,-1,-1,-1,-1.0,,-1,0.0,0.0,0.0,-1,0,1
2015-06-02,2015-06-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,172500.0,31103.0,724500.0,109394,1,31452,3,12852,31452,31452,0,31452,172500.0,31103.0,724500.0,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103.0,-1,724500.0,-1,63106.0,-349.0,693048.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,197160,197159,197161,2015-06-02 02:06:12,2015-06-02 02:06:12,2015-06-02 02:06:12,Mansfield,Mansfield,Mansfield,0,0,1,w1,31452,0,31452,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103.0,724500.0,0,31103.0,724500.0,0,False,True,0,0,0,0,-349,693048,-31452,-1,-1,-1,65.0,inf,-1,0.0,0.0,0.0,-1,0,1
2015-06-03,2015-06-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,172500.0,31103.0,724500.0,127994,1,42806,3,18600,18600,50052,0,50052,172500.0,31103.0,724500.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103.0,-1,724500.0,-1,44506.0,12503.0,674448.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,204769,204768,204770,2015-06-03 01:49:20,2015-06-03 01:49:20,2015-06-03 01:49:20,Mansfield,Mansfield,Mansfield,0,0,1,w1,18600,0,74258,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103.0,724500.0,0,31103.0,724500.0,0,True,True,0,0,0,0,-11703,674448,-74258,-1,-1,-1,69.0,inf,-1,0.0,0.0,0.0,-1,0,0
2015-06-04,2015-06-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,172500.0,31103.0,724500.0,0,3,-103758,3,-29500,0,74258,0,74258,172500.0,31103.0,724500.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103.0,-1,724500.0,-1,172500.0,31103.0,650242.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,210339,210338,210340,2015-06-04 06:12:54,2015-06-04 06:12:54,2015-06-04 06:12:54,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,74258,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103.0,724500.0,0,31103.0,724500.0,0,False,False,0,0,0,0,134861,650242,-74258,-1,-1,-1,77.0,-1334.0,-1,0.0,0.0,0.0,-1,0,0
2015-06-05,2015-06-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,172500.0,31103.0,724500.0,29500,0,29500,0,29500,29500,103758,0,103758,172500.0,31103.0,724500.0,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,-1.0,-1,-1.0,-1,143000.0,1603.0,620742.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,214950,214949,214951,2015-06-05 00:46:19,2015-06-05 00:46:19,2015-06-05 00:46:19,Mansfield,Mansfield,Mansfield,0,0,0,w1,29500,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103.0,724500.0,0,31103.0,724500.0,0,True,True,0,0,0,0,1603,620742,0,-1,-1,-1,86.0,inf,-1,0.0,0.0,0.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,0,-1,0,-1,-1,-1,0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,-1,-1,0,w2,-1,0,-1,-1,-1,-1,0,-1,w1,0,-1,-1,-1,-1,-1,2015-06-06 00:00:00,31103.0,724500.0,0,31103.0,724500.0,0,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,0.0,0.0,0.0,-1,1,1
2015-06-07,2015-06-07 00:00:00,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,0,-1,0,-1,-1,-1,0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31103.0,-1,724500.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,0,w2,-1,0,-1,-1,-1,-1,0,-1,w1,0,-1,-1,-1,-1,-1,2015-06-07 00:00:00,-1.0,-1.0,-1,-1.0,-1.0,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,172500.0,31103.0,724500.0,50400,1,0,3,-15302,0,124658,0,124658,172500.0,31103.0,724500.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,31103.0,-1,724500.0,-1,122100.0,31103.0,599842.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,225783,225782,225784,2015-06-08 12:50:20,2015-06-08 12:50:20,2015-06-08 12:50:20,Mansfield,Mansfield,Mansfield,0,0,0,w2,0,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103.0,724500.0,0,31103.0,724500.0,0,False,False,0,0,0,0,31103,599842,0,-1,-1,-1,65.0,0.0,-1,0.0,0.0,0.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,172500.0,31103.0,724500.0,65702,1,39653,3,-11499,15302,139960,0,139960,172500.0,31103.0,724500.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,-1.0,-1,724500.0,-1,106798.0,15801.0,584540.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,230252,230251,230253,2015-06-09 01:09:53,2015-06-09 01:09:53,2015-06-09 01:09:53,Mansfield,Mansfield,Mansfield,0,0,1,w2,15302,0,39653,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103.0,724500.0,0,31103.0,724500.0,0,False,False,0,0,0,0,-8550,584540,-39653,-1,-1,-1,64.0,inf,-1,0.0,0.0,0.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,172500.0,-1.0,724500.0,116854,1,26801,3,-6615,26801,191112,0,191112,172500.0,-1.0,724500.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,-1.0,-1,724500.0,-1,55646.0,-1.0,533388.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,243891,243890,243892,2015-06-10 16:28:21,2015-06-10 16:28:21,2015-06-10 16:28:21,Mansfield,Mansfield,Mansfield,0,0,1,w2,26801,0,66454,0,0,0,0,0,w1,0,-1,0,0,0,0,0,31103.0,724500.0,0,31103.0,724500.0,0,False,False,0,0,0,0,-1,533388,-66454,-1,-1,-1,79.0,172.0,-1,0.0,0.0,0.0,-1,0,0
2015-06-11,2015-06-11 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,217500.0,-1.0,724500.0,33416,1,33416,3,-4676,33416,224528,0,224528,217500.0,-1.0,724500.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,-1.0,-1,724500.0,-1,184084.0,-1.0,499972.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,265914,265913,265915,2015-06-11 14:49:30,2015-06-11 14:49:30,2015-06-11 14:49:30,Mansfield,Mansfield,Mansfield,0,0,1,w2,33416,0,99870,0,0,0,0,0,w1,0,-1,0,0,0,0,0,-1.0,724500.0,0,-1.0,724500.0,0,False,False,0,0,0,0,-1,499972,-99870,-1,-1,-1,85.0,-1.0,-1,0.0,0.0,0.0,-1,0,0
2015-06-12,2015-06-12 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,217500.0,-1.0,724500.0,71508,1,38092,3,36792,38092,262620,0,262620,217500.0,-1.0,724500.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,-1.0,-1,724500.0,-1,145992.0,-1.0,461880.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,281632,281631,281633,2015-06-12 14:26:18,2015-06-12 14:26:18,2015-06-12 14:26:18,Mansfield,Mansfield,Mansfield,0,0,1,w2,38092,0,137962,0,0,0,0,0,w1,0,-1,0,0,0,0,0,-1.0,724500.0,0,-1.0,724500.0,0,False,False,0,0,0,0,-1,461880,-137962,-1,-1,-1,91.0,-1.0,-1,0.0,0.0,0.0,-1,0,0
