,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,9715.0,348600.0,33400,1,0,3,0,0,0,0,0,80006.0,9715.0,348600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,9715.0,-1,348600.0,-1,46606.0,9715.0,348600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,191993,191992,191994,2015-06-01 05:53:31,2015-06-01 05:53:31,2015-06-01 05:53:31,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,9715.0,348600.0,0,9715.0,348600.0,0,True,True,0,0,0,0,9715,348600,0,-1,-1,-1,-1.0,,-1,0.0,0.0,0.0,-1,1,1
2015-06-02,2015-06-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,9715.0,348600.0,33400,1,0,3,-15000,0,0,0,0,80006.0,9715.0,348600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,9715.0,-1,348600.0,-1,46606.0,9715.0,348600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,197172,197171,197173,2015-06-02 02:06:12,2015-06-02 02:06:12,2015-06-02 02:06:12,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,9715.0,348600.0,0,9715.0,348600.0,0,False,True,0,0,0,0,9715,348600,0,-1,-1,-1,-1.0,,-1,0.0,0.0,0.0,-1,0,1
2015-06-03,2015-06-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,9715.0,348600.0,48400,1,30200,3,15000,15000,15000,0,15000,80006.0,9715.0,348600.0,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,9715.0,-1,348600.0,-1,31606.0,-5285.0,333600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,204781,204780,204782,2015-06-03 01:49:20,2015-06-03 01:49:20,2015-06-03 01:49:20,Mansfield,Mansfield,Mansfield,0,0,1,w1,15000,0,30200,0,0,0,0,0,w1,0,-1,0,0,0,0,0,9715.0,348600.0,0,9715.0,348600.0,0,True,True,0,0,0,0,-20485,333600,-30200,-1,-1,-1,43.0,inf,-1,0.0,0.0,0.0,-1,0,0
2015-06-04,2015-06-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,9715.0,348600.0,0,3,-46201,3,-16001,0,30200,0,30200,80006.0,9715.0,348600.0,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,9715.0,-1,348600.0,-1,80006.0,9715.0,318400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,210351,210350,210352,2015-06-04 06:12:54,2015-06-04 06:12:54,2015-06-04 06:12:54,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,30200,0,0,0,0,0,w1,0,-1,0,0,0,0,0,9715.0,348600.0,0,9715.0,348600.0,0,False,False,0,0,0,0,55916,318400,-30200,-1,-1,-1,65.0,-1902.0,-1,0.0,0.0,0.0,-1,0,0
2015-06-05,2015-06-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,80006.0,9715.0,348600.0,16001,0,16001,0,16001,16001,46201,0,46201,80006.0,9715.0,348600.0,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,-1.0,-1,-1.0,-1,64005.0,-6286.0,302399.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,214965,214964,214966,2015-06-05 00:46:19,2015-06-05 00:46:19,2015-06-05 00:46:19,Mansfield,Mansfield,Mansfield,0,0,0,w1,16001,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,9715.0,348600.0,0,9715.0,348600.0,0,True,True,0,0,0,0,-6286,302399,0,-1,-1,-1,80.0,inf,-1,0.0,0.0,0.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,0,-1,0,-1,-1,-1,0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,-1,-1,0,w2,-1,0,-1,-1,-1,-1,0,-1,w1,0,-1,-1,-1,-1,-1,2015-06-06 00:00:00,9715.0,348600.0,0,9715.0,348600.0,0,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,0.0,0.0,0.0,-1,1,1
2015-06-07,2015-06-07 00:00:00,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,0,-1,0,-1,-1,-1,0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17214.0,-1,348600.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,0,w2,-1,0,-1,-1,-1,-1,0,-1,w1,0,-1,-1,-1,-1,-1,2015-06-07 00:00:00,-1.0,-1.0,-1,-1.0,-1.0,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,95006.0,17214.0,348600.0,62502,1,0,3,0,23001,92702,0,92702,95006.0,17214.0,348600.0,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,20252.0,-1,348600.0,-1,32504.0,-5787.0,255898.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,225795,225794,225796,2015-06-08 12:50:20,2015-06-08 12:50:20,2015-06-08 12:50:20,Mansfield,Mansfield,Mansfield,0,0,0,w2,23001,0,0,0,0,0,0,0,w1,0,-1,0,0,0,0,0,17214.0,348600.0,0,17214.0,348600.0,0,False,False,0,0,0,0,17214,255898,0,-1,-1,-1,100.0,0.0,-1,0.0,0.0,0.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,95006.0,20252.0,348600.0,62502,1,46001,3,7495,23001,92702,0,92702,95006.0,20252.0,348600.0,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,11429.0,-1,348600.0,-1,32504.0,-2749.0,255898.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,230267,230266,230268,2015-06-09 01:09:53,2015-06-09 01:09:53,2015-06-09 01:09:53,Mansfield,Mansfield,Mansfield,0,0,1,w2,23001,0,46001,0,0,0,0,0,w1,0,-1,0,0,0,0,0,20252.0,348600.0,0,20252.0,348600.0,0,False,False,0,0,0,0,-25749,255898,-46001,-1,-1,-1,89.0,inf,-1,0.0,0.0,0.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Richmond,GENERIC ULSD-SH,95006.0,11429.0,348600.0,101008,1,15506,3,8605,15506,131208,0,131208,95006.0,11429.0,348600.0,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,11429.0,-1,348600.0,-1,-6002.0,-4077.0,217392.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,243903,243902,243904,2015-06-10 16:28:21,2015-06-10 16:28:21,2015-06-10 16:28:21,Mansfield,Mansfield,Mansfield,0,0,1,w2,15506,0,61507,0,0,0,0,0,w1,0,-1,0,0,0,0,0,11429.0,348600.0,0,11429.0,348600.0,0,False,False,0,0,0,0,-4077,217392,-61507,-1,-1,-1,113.0,271.0,-1,0.0,0.0,0.0,-1,0,0
