,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,416875,75400,1667500,179881,1,12001,3,-47187,12001,12001,0,12001,416875,75400,1667500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,75400,-1,1667500,-1,236994,63399,1655499,0,0,0,0,0,0,7363916,7363915,7363917,2015-11-01 22:06:17,2015-11-01 22:06:17,2015-11-01 22:06:17,Mansfield,Mansfield,Mansfield,0,0,1,w1,12001,0,12001,0,0,0,0,0,w1,0,-1,0,0,0,0,0,75400,1667500,0,75400,1667500,0,False,False,12001,True,12001,True,63399,1655499,-12001,-1,-1,-1,22.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-02,2015-11-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,416875,75400,1667500,239069,1,65288,3,-18124,59188,71189,0,71189,416875,75400,1667500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,75400,-1,1667500,-1,177806,16212,1596311,0,0,0,0,0,0,7413539,7413538,7413540,2015-11-02 22:05:42,2015-11-02 22:05:42,2015-11-02 22:05:42,Mansfield,Mansfield,Mansfield,0,0,1,w1,59188,0,77289,0,0,0,0,0,w1,0,-1,0,0,0,0,0,75400,1667500,0,75400,1667500,0,False,False,77289,True,77289,True,10112,1596311,-77289,-1,-1,-1,64.0,0.0,-1,0.0,0.0,0.0,0.0,0,0
2015-11-03,2015-11-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,416875,75400,1667500,322481,1,77312,3,7414,77312,154601,0,154601,416875,75400,1667500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,75400,-1,1667500,-1,94394,-1912,1512899,0,0,0,0,0,0,7474754,7474753,7474755,2015-11-03 22:05:33,2015-11-03 22:05:33,2015-11-03 22:05:33,Mansfield,Mansfield,Mansfield,0,0,1,w1,77312,0,154601,0,0,0,0,0,w1,0,-1,0,0,0,0,0,75400,1667500,0,75400,1667500,0,False,False,154601,True,154601,True,-1912,1512899,-154601,-1,-1,-1,93.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-04,2015-11-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,416875,75400,1667500,392379,1,69898,3,-2069,69898,224499,0,224499,416875,75400,1667500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,75400,-1,1667500,-1,24496,5502,1443001,0,0,0,0,0,0,7698693,7698692,7698694,2015-11-04 23:36:33,2015-11-04 23:36:33,2015-11-04 23:36:33,Mansfield,Mansfield,Mansfield,0,0,1,w1,69898,0,224499,0,0,0,0,0,w1,0,-1,0,0,0,0,0,75400,1667500,0,75400,1667500,0,False,False,224499,True,224499,True,5502,1443001,-224499,-1,-1,-1,101.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-05,2015-11-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,416875,75400,1667500,71967,1,71967,3,-2013,71967,296466,0,296466,416875,75400,1667500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,75400,-1,1667500,-1,344908,3433,1371034,0,0,0,0,0,0,7836176,7836175,7836177,2015-11-05 22:05:06,2015-11-05 22:05:06,2015-11-05 22:05:06,Mansfield,Mansfield,Mansfield,0,0,1,w1,71967,0,296466,0,0,0,0,0,w1,0,-1,0,0,0,0,0,75400,1667500,0,75400,1667500,0,False,False,296466,True,296466,True,3433,1371034,-296466,-1,-1,-1,107.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-06,2015-11-06 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,416875,75400,1667500,145947,1,73980,3,73980,73980,370446,0,370446,416875,75400,1667500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,75400,-1,1667500,-1,270928,1420,1297054,0,0,0,0,0,0,7884514,7884513,7884515,2015-11-06 22:06:36,2015-11-06 22:06:36,2015-11-06 22:06:36,Mansfield,Mansfield,Mansfield,0,0,1,w1,73980,0,370446,0,0,0,0,0,w1,0,-1,0,0,0,0,0,75400,1667500,0,75400,1667500,0,False,False,370446,True,370446,True,1420,1297054,-370446,-1,-1,-1,111.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-07,2015-11-07 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,416875,75400,1667500,145947,1,0,3,-29207,0,370446,0,370446,416875,75400,1667500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,75400,-1,1667500,-1,270928,75400,1297054,0,0,0,0,0,0,7927949,7927948,7927950,2015-11-07 22:05:15,2015-11-07 22:05:15,2015-11-07 22:05:15,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,370446,0,0,0,0,0,w1,0,-1,0,0,0,0,0,75400,1667500,0,75400,1667500,0,False,False,370446,True,370446,True,75400,1297054,-370446,-1,-1,-1,95.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-08,2015-11-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,416875,75400,1667500,175154,1,29207,3,-52826,29207,399653,0,399653,416875,75400,1667500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,75400,-1,1667500,-1,241721,46193,1267847,0,0,0,0,0,0,7976363,7976362,7976364,2015-11-08 22:05:38,2015-11-08 22:05:38,2015-11-08 22:05:38,Mansfield,Mansfield,Mansfield,0,0,1,w1,29207,0,399653,0,0,0,0,0,w1,0,-1,0,0,0,0,0,75400,1667500,0,75400,1667500,0,False,False,399653,True,399653,True,46193,1267847,-399653,-1,-1,-1,90.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-09,2015-11-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,416875,75400,1667500,257187,1,82033,3,12712,82033,481686,0,481686,416875,75400,1667500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,75400,-1,1667500,-1,159688,-6633,1185814,0,0,0,0,0,0,8027458,8027457,8027459,2015-11-09 22:04:27,2015-11-09 22:04:27,2015-11-09 22:04:27,Mansfield,Mansfield,Mansfield,0,0,1,w1,82033,0,481686,0,0,0,0,0,w1,0,-1,0,0,0,0,0,75400,1667500,0,75400,1667500,0,False,False,481686,True,481686,True,-6633,1185814,-481686,-1,-1,-1,96.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-10,2015-11-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,416875,75400,1667500,326508,1,69321,3,17110,69321,551007,0,551007,416875,75400,1667500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,75400,-1,1667500,-1,90367,6079,1116493,0,0,0,0,0,0,8079005,8079004,8079006,2015-11-10 23:25:48,2015-11-10 23:25:48,2015-11-10 23:25:48,Mansfield,Mansfield,Mansfield,0,0,1,w1,69321,0,551007,0,0,0,0,0,w1,0,-1,0,0,0,0,0,75400,1667500,0,75400,1667500,0,False,False,551007,True,551007,True,6079,1116493,-551007,-1,-1,-1,99.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-11,2015-11-11 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,416875,75400,1667500,378719,1,52211,3,1648,52211,603218,0,603218,416875,75400,1667500,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,104000,-1,2175000,-1,38156,23189,1064282,0,0,0,0,0,0,8130494,8130493,8130495,2015-11-11 22:06:07,2015-11-11 22:06:07,2015-11-11 22:06:07,Mansfield,Mansfield,Mansfield,0,0,1,w1,52211,0,603218,0,0,0,0,0,w1,0,-1,0,0,0,0,0,75400,1667500,0,75400,1667500,0,False,False,603218,True,603218,True,23189,1064282,-603218,-1,-1,-1,99.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-12,2015-11-12 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,725000,104000,2175000,50563,1,50563,3,-5225,50563,653781,0,653781,725000,104000,2175000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,208000,-1,2175000,-1,674437,53437,1521219,0,0,0,0,0,0,8183193,8183192,8183194,2015-11-12 22:05:22,2015-11-12 22:05:22,2015-11-12 22:05:22,Mansfield,Mansfield,Mansfield,0,0,1,w1,50563,0,653781,0,0,0,0,0,w1,0,-1,0,0,0,0,0,104000,2175000,0,104000,2175000,0,False,False,653781,True,653781,True,53437,1521219,-653781,-1,-1,-1,75.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-13,2015-11-13 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,906250,208000,2175000,106351,1,55788,3,18287,55788,709569,0,709569,906250,208000,2175000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,208000,-1,2175000,-1,799899,152212,1465431,0,0,0,0,0,0,8228372,8228371,8228373,2015-11-13 22:05:06,2015-11-13 22:05:06,2015-11-13 22:05:06,Mansfield,Mansfield,Mansfield,0,0,1,w1,55788,0,709569,0,0,0,0,0,w1,0,-1,0,0,0,0,0,208000,2175000,0,208000,2175000,0,False,False,709569,True,709569,True,152212,1465431,-709569,-1,-1,-1,75.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-14,2015-11-14 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,906250,208000,2175000,143852,1,37501,3,13285,37501,747070,0,747070,906250,208000,2175000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,208000,-1,2175000,-1,762398,170499,1427930,0,0,0,0,0,0,8264755,8264754,8264756,2015-11-14 22:05:24,2015-11-14 22:05:24,2015-11-14 22:05:24,Mansfield,Mansfield,Mansfield,0,0,1,w1,37501,0,747070,0,0,0,0,0,w1,0,-1,0,0,0,0,0,208000,2175000,0,208000,2175000,0,False,False,747070,True,747070,True,170499,1427930,-747070,-1,-1,-1,74.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-15,2015-11-15 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,906250,208000,2175000,168068,1,24216,3,-17987,24216,771286,0,771286,906250,208000,2175000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,208000,-1,2175000,-1,738182,183784,1403714,0,0,0,0,0,0,8299261,8299260,8299262,2015-11-15 22:05:43,2015-11-15 22:05:43,2015-11-15 22:05:43,Mansfield,Mansfield,Mansfield,0,0,1,w1,24216,0,771286,0,0,0,0,0,w1,0,-1,0,0,0,0,0,208000,2175000,0,208000,2175000,0,False,False,771286,True,771286,True,183784,1403714,-771286,-1,-1,-1,71.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-16,2015-11-16 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,906250,208000,2175000,210271,1,42203,3,-12706,42203,813489,0,813489,906250,208000,2175000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,208000,-1,2175000,-1,695979,165797,1361511,0,0,0,0,0,0,8357328,8357327,8357329,2015-11-16 22:05:45,2015-11-16 22:05:45,2015-11-16 22:05:45,Mansfield,Mansfield,Mansfield,0,0,1,w1,42203,0,813489,0,0,0,0,0,w1,0,-1,0,0,0,0,0,208000,2175000,0,208000,2175000,0,False,False,813489,True,813489,True,165797,1361511,-813489,-1,-1,-1,70.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-17,2015-11-17 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,906250,208000,2175000,265180,1,54909,3,54909,54909,868398,0,868398,906250,208000,2175000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,208000,-1,2175000,-1,641070,153091,1306602,0,0,0,0,0,0,8416616,8416615,8416617,2015-11-17 22:05:42,2015-11-17 22:05:42,2015-11-17 22:05:42,Mansfield,Mansfield,Mansfield,0,0,1,w1,54909,0,868398,0,0,0,0,0,w1,0,-1,0,0,0,0,0,208000,2175000,0,208000,2175000,0,False,False,868398,True,868398,True,153091,1306602,-868398,-1,-1,-1,70.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-18,2015-11-18 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,906250,208000,2175000,265180,1,0,3,-39645,0,868398,0,868398,906250,208000,2175000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,208000,-1,2175000,-1,641070,208000,1306602,0,0,0,0,0,0,8480412,8480411,8480413,2015-11-18 22:05:10,2015-11-18 22:05:10,2015-11-18 22:05:10,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,868398,0,0,0,0,0,w1,0,-1,0,0,0,0,0,208000,2175000,0,208000,2175000,0,False,False,868398,True,868398,True,208000,1306602,-868398,-1,-1,-1,67.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-11-19,2015-11-19 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Doraville E/W,GENERIC ULSD-SH,906250,208000,2175000,39645,1,39645,3,-1122,39645,908043,0,908043,906250,208000,2175000,Unknown,Unknown,Unknown,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,208000,-1,2175000,-1,866605,168355,1266957,0,0,0,0,0,0,8539291,8539290,8539292,2015-11-19 22:04:24,2015-11-19 22:04:24,2015-11-19 22:04:24,Mansfield,Mansfield,Mansfield,0,0,1,w1,39645,0,908043,0,0,0,0,0,w1,0,-1,0,0,0,0,0,208000,2175000,0,208000,2175000,0,False,False,908043,True,908043,True,168355,1266957,-908043,-1,-1,-1,66.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
