,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,21450,724500,146508,1,30000,3,7499,30000,30000,0,30000,187500,21450,724500,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,21450,-1,724500,-1,40992,-8550,694500,0,0,0,0,0,0,4253247,4253246,4253248,2015-09-01 19:06:15,2015-09-01 19:06:15,2015-09-01 19:06:15,Mansfield,Mansfield,Mansfield,0,0,1,w1,30000,0,30000,0,0,0,0,0,w1,0,-1,0,0,0,0,0,21450,724500,0,21450,724500,0,False,False,30000,True,30000,True,-8550,694500,-30000,-1,-1,-1,124.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-02,2015-09-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,21450,724500,169009,1,22501,3,2,22501,52501,0,52501,187500,21450,724500,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,21450,-1,724500,-1,18491,-1051,671999,0,0,0,0,0,0,4312788,4312787,4312789,2015-09-02 22:00:23,2015-09-02 22:00:23,2015-09-02 22:00:23,Mansfield,Mansfield,Mansfield,0,0,1,w1,22501,0,52501,0,0,0,0,0,w1,0,-1,0,0,0,0,0,21450,724500,0,21450,724500,0,False,False,52501,True,52501,True,-1051,671999,-52501,-1,-1,-1,109.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-03,2015-09-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,21450,724500,22499,1,22499,3,-1,22499,75000,0,75000,187500,21450,724500,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,21450,-1,724500,-1,165001,-1049,649500,0,0,0,0,0,0,4367339,4367338,4367340,2015-09-03 19:00:21,2015-09-03 19:00:21,2015-09-03 19:00:21,Mansfield,Mansfield,Mansfield,0,0,1,w1,22499,0,75000,0,0,0,0,0,w1,0,-1,0,0,0,0,0,21450,724500,0,21450,724500,0,False,False,75000,True,75000,True,-1049,649500,-75000,-1,-1,-1,104.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-04,2015-09-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,21450,724500,44999,1,22500,3,500,22500,97500,0,97500,187500,21450,724500,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,21450,-1,724500,-1,142501,-1050,627000,0,0,0,0,0,0,4434285,4434284,4434286,2015-09-04 22:05:36,2015-09-04 22:05:36,2015-09-04 22:05:36,Mansfield,Mansfield,Mansfield,0,0,1,w1,22500,0,97500,0,0,0,0,0,w1,0,-1,0,0,0,0,0,21450,724500,0,21450,724500,0,False,False,97500,True,97500,True,-1050,627000,-97500,-1,-1,-1,101.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-05,2015-09-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,21450,724500,66999,1,22000,3,22000,22000,119500,0,119500,187500,21450,724500,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,21450,-1,724500,-1,120501,-550,605000,0,0,0,0,0,0,4487309,4487308,4487310,2015-09-05 22:05:39,2015-09-05 22:05:39,2015-09-05 22:05:39,Mansfield,Mansfield,Mansfield,0,0,1,w1,22000,0,119500,0,0,0,0,0,w1,0,-1,0,0,0,0,0,21450,724500,0,21450,724500,0,False,False,119500,True,119500,True,-550,605000,-119500,-1,-1,-1,99.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-06,2015-09-06 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,21450,724500,66999,1,0,3,-7501,0,119500,0,119500,187500,21450,724500,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,21450,-1,724500,-1,120501,21450,605000,0,0,0,0,0,0,4537904,4537903,4537905,2015-09-06 22:00:26,2015-09-06 22:00:26,2015-09-06 22:00:26,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,119500,0,0,0,0,0,w1,0,-1,0,0,0,0,0,21450,724500,0,21450,724500,0,False,False,119500,True,119500,True,21450,605000,-119500,-1,-1,-1,82.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-07,2015-09-07 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,21450,724500,74500,1,7501,3,-15000,7501,127001,0,127001,187500,21450,724500,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,21450,-1,724500,-1,113000,13949,597499,0,0,0,0,0,0,4569655,4569654,4569656,2015-09-07 11:00:27,2015-09-07 11:00:27,2015-09-07 11:00:27,Mansfield,Mansfield,Mansfield,0,0,1,w1,7501,0,127001,0,0,0,0,0,w1,0,-1,0,0,0,0,0,21450,724500,0,21450,724500,0,False,False,127001,True,127001,True,13949,597499,-127001,-1,-1,-1,75.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-08,2015-09-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,21450,724500,97001,1,22501,3,1,22501,149502,0,149502,187500,21450,724500,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,21450,-1,724500,-1,90499,-1051,574998,0,0,0,0,0,0,4654562,4654561,4654563,2015-09-08 22:00:29,2015-09-08 22:00:29,2015-09-08 22:00:29,Mansfield,Mansfield,Mansfield,0,0,1,w1,22501,0,149502,0,0,0,0,0,w1,0,-1,0,0,0,0,0,21450,724500,0,21450,724500,0,False,False,149502,True,149502,True,-1051,574998,-149502,-1,-1,-1,77.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-09,2015-09-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,21450,724500,119501,1,22500,3,-2,22500,172002,0,172002,187500,21450,724500,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,21450,-1,724500,-1,67999,-1050,552498,0,0,0,0,0,0,4715825,4715824,4715826,2015-09-09 22:07:40,2015-09-09 22:07:40,2015-09-09 22:07:40,Mansfield,Mansfield,Mansfield,0,0,1,w1,22500,0,172002,0,0,0,0,0,w1,0,-1,0,0,0,0,0,21450,724500,0,21450,724500,0,False,False,172002,True,172002,True,-1050,552498,-172002,-1,-1,-1,79.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-10,2015-09-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12313997,Motiva - Dallas,GENERIC ULSD-SH,187500,21450,724500,22502,1,22502,3,1,22502,194504,0,194504,187500,21450,724500,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,21450,-1,724500,-1,164998,-1052,529996,0,0,0,0,0,0,4769299,4769298,4769300,2015-09-10 22:00:33,2015-09-10 22:00:33,2015-09-10 22:00:33,Mansfield,Mansfield,Mansfield,0,0,1,w1,22502,0,194504,0,0,0,0,0,w1,0,-1,0,0,0,0,0,21450,724500,0,21450,724500,0,False,False,194504,True,194504,True,-1052,529996,-194504,-1,-1,-1,81.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
