,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,39200,8400,168000,32019,1,3000,3,-19501,3000,3000,0,3000,39200,8400,168000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16800,-1,336000,-1,7181,5400,165000,0,0,0,0,0,0,4253382,4253381,4253383,2015-09-01 19:06:15,2015-09-01 19:06:15,2015-09-01 19:06:15,Mansfield,Mansfield,Mansfield,0,0,1,w1,3000,0,3000,0,0,0,0,0,w1,0,-1,0,0,0,0,0,8400,168000,0,8400,168000,0,False,False,3000,True,3000,True,5400,165000,-3000,-1,-1,-1,54.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-02,2015-09-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,78400,16800,336000,54520,1,22501,3,17000,22501,25501,0,25501,78400,16800,336000,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16800,-1,336000,-1,23880,-5701,310499,0,0,0,0,0,0,4312926,4312925,4312927,2015-09-02 22:00:23,2015-09-02 22:00:23,2015-09-02 22:00:23,Mansfield,Mansfield,Mansfield,0,0,1,w1,22501,0,25501,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16800,336000,0,16800,336000,0,False,False,25501,True,25501,True,-5701,310499,-25501,-1,-1,-1,114.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-03,2015-09-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,78400,16800,336000,5501,1,5501,3,-21501,5501,31002,0,31002,78400,16800,336000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,24300,-1,336000,-1,72899,11299,304998,0,0,0,0,0,0,4367477,4367476,4367478,2015-09-03 19:00:21,2015-09-03 19:00:21,2015-09-03 19:00:21,Mansfield,Mansfield,Mansfield,0,0,1,w1,5501,0,31002,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16800,336000,0,16800,336000,0,False,False,31002,True,31002,True,11299,304998,-31002,-1,-1,-1,92.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-04,2015-09-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,78400,24300,336000,32503,1,27002,3,27002,27002,58004,0,58004,78400,24300,336000,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16800,-1,336000,-1,45897,-2702,277996,0,0,0,0,0,0,4434423,4434422,4434424,2015-09-04 22:05:36,2015-09-04 22:05:36,2015-09-04 22:05:36,Mansfield,Mansfield,Mansfield,0,0,1,w1,27002,0,58004,0,0,0,0,0,w1,0,-1,0,0,0,0,0,24300,336000,0,24300,336000,0,False,False,58004,True,58004,True,-2702,277996,-58004,-1,-1,-1,129.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-05,2015-09-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,78400,16800,336000,32503,1,0,3,0,0,58004,0,58004,78400,16800,336000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16800,-1,336000,-1,45897,16800,277996,0,0,0,0,0,0,4487444,4487443,4487445,2015-09-05 22:05:39,2015-09-05 22:05:39,2015-09-05 22:05:39,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,58004,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16800,336000,0,16800,336000,0,False,False,58004,True,58004,True,16800,277996,-58004,-1,-1,-1,104.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-06,2015-09-06 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,78400,16800,336000,32503,1,0,3,0,0,58004,0,58004,78400,16800,336000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16800,-1,336000,-1,45897,16800,277996,0,0,0,0,0,0,4538042,4538041,4538043,2015-09-06 22:00:26,2015-09-06 22:00:26,2015-09-06 22:00:26,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,58004,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16800,336000,0,16800,336000,0,False,False,58004,True,58004,True,16800,277996,-58004,-1,-1,-1,86.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-07,2015-09-07 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,78400,16800,336000,32503,1,0,3,-10400,0,58004,0,58004,78400,16800,336000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16800,-1,336000,-1,45897,16800,277996,0,0,0,0,0,0,4569790,4569789,4569791,2015-09-07 11:00:27,2015-09-07 11:00:27,2015-09-07 11:00:27,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,58004,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16800,336000,0,16800,336000,0,False,False,58004,True,58004,True,16800,277996,-58004,-1,-1,-1,74.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-08,2015-09-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,78400,16800,336000,42903,1,10400,3,-6704,10400,68404,0,68404,78400,16800,336000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16800,-1,336000,-1,35497,6400,267596,0,0,0,0,0,0,4654700,4654699,4654701,2015-09-08 22:00:29,2015-09-08 22:00:29,2015-09-08 22:00:29,Mansfield,Mansfield,Mansfield,0,0,1,w1,10400,0,68404,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16800,336000,0,16800,336000,0,False,False,68404,True,68404,True,6400,267596,-68404,-1,-1,-1,76.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-09,2015-09-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,78400,16800,336000,60007,1,17104,3,9604,17104,85508,0,85508,78400,16800,336000,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16800,-1,336000,-1,18393,-304,250492,0,0,0,0,0,0,4715963,4715962,4715964,2015-09-09 22:07:40,2015-09-09 22:07:40,2015-09-09 22:07:40,Mansfield,Mansfield,Mansfield,0,0,1,w1,17104,0,85508,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16800,336000,0,16800,336000,0,False,False,85508,True,85508,True,-304,250492,-85508,-1,-1,-1,85.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-10,2015-09-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,NORTH ST LOUIS - BUCKEYE,GENERIC ULSD-SH,78400,16800,336000,7500,1,7500,3,-14505,7500,93008,0,93008,78400,16800,336000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,16800,-1,336000,-1,70900,9300,242992,0,0,0,0,0,0,4769434,4769433,4769435,2015-09-10 22:00:33,2015-09-10 22:00:33,2015-09-10 22:00:33,Mansfield,Mansfield,Mansfield,0,0,1,w1,7500,0,93008,0,0,0,0,0,w1,0,-1,0,0,0,0,0,16800,336000,0,16800,336000,0,False,False,93008,True,93008,True,9300,242992,-93008,-1,-1,-1,83.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
