,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Custom,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_Custom,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Custom,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Custom,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Custom,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Custom,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Custom,next_refresh_date_Daily,next_refresh_date_Monthly,en_account_type_Custom,en_account_type_Daily,en_account_type_Monthly,next_refresh_base_gallons_Custom,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Custom,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Custom,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Custom,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,staging_id_Custom,staging_id_Daily,staging_id_Monthly,execution_date_Custom,execution_date_Daily,execution_date_Monthly,customer_name_Custom,customer_name_Daily,customer_name_Monthly,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,execution_date_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,29400,12600,126000,22505,1,7501,3,7501,7501,7501,0,7501,29400,12600,126000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,12600,-1,126000,-1,6895,5099,118499,0,0,0,0,0,0,4253373,4253372,4253374,2015-09-01 19:06:15,2015-09-01 19:06:15,2015-09-01 19:06:15,Mansfield,Mansfield,Mansfield,0,0,1,w1,7501,0,7501,0,0,0,0,0,w1,0,-1,0,0,0,0,0,12600,126000,0,12600,126000,0,False,False,7501,True,7501,True,5099,118499,-7501,-1,-1,-1,179.0,0.0,-1,0.0,0.0,0.0,0.0,1,1
2015-09-02,2015-09-02 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,29400,12600,126000,22505,1,0,3,-7501,0,7501,0,7501,29400,12600,126000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,12600,-1,126000,-1,6895,12600,118499,0,0,0,0,0,0,4312914,4312913,4312915,2015-09-02 22:00:23,2015-09-02 22:00:23,2015-09-02 22:00:23,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,7501,0,0,0,0,0,w1,0,-1,0,0,0,0,0,12600,126000,0,12600,126000,0,False,False,7501,True,7501,True,12600,118499,-7501,-1,-1,-1,89.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-03,2015-09-03 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,29400,12600,126000,7501,1,7501,3,-15099,7501,15002,0,15002,29400,12600,126000,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,20100,-1,132300,-1,21899,5099,110998,0,0,0,0,0,0,4367465,4367464,4367466,2015-09-03 19:00:21,2015-09-03 19:00:21,2015-09-03 19:00:21,Mansfield,Mansfield,Mansfield,0,0,1,w1,7501,0,15002,0,0,0,0,0,w1,0,-1,0,0,0,0,0,12600,126000,0,12600,126000,0,False,False,15002,True,15002,True,5099,110998,-15002,-1,-1,-1,119.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-04,2015-09-04 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,32340,20100,132300,30101,1,22600,3,22600,22600,37602,0,37602,32340,20100,132300,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,12600,-1,132300,-1,2239,-2500,94698,0,0,0,0,0,0,4434411,4434410,4434412,2015-09-04 22:05:36,2015-09-04 22:05:36,2015-09-04 22:05:36,Mansfield,Mansfield,Mansfield,0,0,1,w1,22600,0,37602,0,0,0,0,0,w1,0,-1,0,0,0,0,0,20100,132300,0,20100,132300,0,False,False,37602,True,37602,True,-2500,94698,-37602,-1,-1,-1,213.0,133.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-05,2015-09-05 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,32340,12600,132300,30101,1,0,3,0,0,37602,0,37602,32340,12600,132300,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,12600,-1,132300,-1,2239,12600,94698,0,0,0,0,0,0,4487435,4487434,4487436,2015-09-05 22:05:39,2015-09-05 22:05:39,2015-09-05 22:05:39,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,37602,0,0,0,0,0,w1,0,-1,0,0,0,0,0,12600,132300,0,12600,132300,0,False,False,37602,True,37602,True,12600,94698,-37602,-1,-1,-1,171.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-06,2015-09-06 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,32340,12600,132300,30101,1,0,3,0,0,37602,0,37602,32340,12600,132300,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,12600,-1,132300,-1,2239,12600,94698,0,0,0,0,0,0,4538030,4538029,4538031,2015-09-06 22:00:26,2015-09-06 22:00:26,2015-09-06 22:00:26,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,37602,0,0,0,0,0,w1,0,-1,0,0,0,0,0,12600,132300,0,12600,132300,0,False,False,37602,True,37602,True,12600,94698,-37602,-1,-1,-1,142.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-07,2015-09-07 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,32340,12600,132300,30101,1,0,3,-7400,0,37602,0,37602,32340,12600,132300,Limited,Limited,Limited,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,12600,-1,132300,-1,2239,12600,94698,0,0,0,0,0,0,4569781,4569780,4569782,2015-09-07 11:00:27,2015-09-07 11:00:27,2015-09-07 11:00:27,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,37602,0,0,0,0,0,w1,0,-1,0,0,0,0,0,12600,132300,0,12600,132300,0,False,False,37602,True,37602,True,12600,94698,-37602,-1,-1,-1,122.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-08,2015-09-08 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,32340,12600,132300,37501,1,7400,3,7400,7400,45002,0,45002,32340,12600,132300,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,12600,-1,132300,-1,-5161,5200,87298,0,0,0,0,0,0,4654688,4654687,4654689,2015-09-08 22:00:29,2015-09-08 22:00:29,2015-09-08 22:00:29,Mansfield,Mansfield,Mansfield,0,0,1,w1,7400,0,45002,0,0,0,0,0,w1,0,-1,0,0,0,0,0,12600,132300,0,12600,132300,0,False,False,45002,True,45002,True,5200,87298,-45002,-1,-1,-1,128.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-09,2015-09-09 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,32340,12600,132300,37501,1,0,3,-7504,0,45002,0,45002,32340,12600,132300,Out,Out,Out,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,12600,-1,132300,-1,-5161,12600,87298,0,0,0,0,0,0,4715951,4715950,4715952,2015-09-09 22:07:40,2015-09-09 22:07:40,2015-09-09 22:07:40,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,45002,0,0,0,0,0,w1,0,-1,0,0,0,0,0,12600,132300,0,12600,132300,0,False,False,45002,True,45002,True,12600,87298,-45002,-1,-1,-1,113.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-10,2015-09-10 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,32340,12600,132300,7504,1,7504,3,-97,7504,52506,0,52506,32340,12600,132300,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,12600,-1,132300,-1,24836,5096,79794,0,0,0,0,0,0,4769425,4769424,4769426,2015-09-10 22:00:33,2015-09-10 22:00:33,2015-09-10 22:00:33,Mansfield,Mansfield,Mansfield,0,0,1,w1,7504,0,52506,0,0,0,0,0,w1,0,-1,0,0,0,0,0,12600,132300,0,12600,132300,0,False,False,52506,True,52506,True,5096,79794,-52506,-1,-1,-1,119.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-11,2015-09-11 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,32340,12600,132300,15105,1,7601,3,7601,7601,60107,0,60107,32340,12600,132300,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,12600,-1,132300,-1,17235,4999,72193,0,0,0,0,0,0,4829662,4829661,4829663,2015-09-11 22:06:19,2015-09-11 22:06:19,2015-09-11 22:06:19,Mansfield,Mansfield,Mansfield,0,0,1,w1,7601,0,60107,0,0,0,0,0,w1,0,-1,0,0,0,0,0,12600,132300,0,12600,132300,0,False,False,60107,True,60107,True,4999,72193,-60107,-1,-1,-1,124.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
2015-09-12,2015-09-12 00:00:00,Shell,MANSFIELD OIL COMPANY OF 12324994,Shell - Sacramento,GENERIC ULSD-SH,32340,12600,132300,15105,1,0,3,0,0,60107,0,60107,32340,12600,132300,Available,Available,Available,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,Contract,Contract,Contract,-1,12600,-1,132300,-1,17235,12600,72193,0,0,0,0,0,0,4895661,4895660,4895662,2015-09-12 22:05:45,2015-09-12 22:05:45,2015-09-12 22:05:45,Mansfield,Mansfield,Mansfield,0,0,1,w1,0,0,60107,0,0,0,0,0,w1,0,-1,0,0,0,0,0,12600,132300,0,12600,132300,0,False,False,60107,True,60107,True,12600,72193,-60107,-1,-1,-1,114.0,0.0,-1,0.0,0.0,0.0,0.0,0,1
