,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,customer_name,date
0,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,10,2015-12-01 22:19:37,9241903,Mansfield,2015-12-01
1,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,10,2015-12-02 22:20:10,9295589,Mansfield,2015-12-02
2,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,10,2015-12-03 22:20:05,9348860,Mansfield,2015-12-03
3,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,10,2015-12-04 22:19:32,9402513,Mansfield,2015-12-04
4,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,10,2015-12-05 22:20:08,9454571,Mansfield,2015-12-05
5,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,10,2015-12-06 22:19:39,9489897,Mansfield,2015-12-06
6,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,11,2015-12-07 22:22:15,9536586,Mansfield,2015-12-07
7,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,10,2015-12-08 22:23:35,9588657,Mansfield,2015-12-08
8,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,10,2015-12-09 22:23:02,9639533,Mansfield,2015-12-09
9,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,10,2015-12-10 22:20:40,9677149,Mansfield,2015-12-10
10,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,18,2015-12-11 22:23:30,9743219,Mansfield,2015-12-11
11,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,10,2015-12-12 22:19:20,9795142,Mansfield,2015-12-12
12,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,10,2015-12-13 22:22:54,9834531,Mansfield,2015-12-13
13,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,35,2015-12-16 22:17:58,10159464,Mansfield,2015-12-16
14,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,25,2015-12-22 22:13:42,10839276,Mansfield,2015-12-22
15,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,32,2015-12-23 22:21:07,10989221,Mansfield,2015-12-23
16,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,32,2015-12-24 20:13:03,11119266,Mansfield,2015-12-24
17,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,4,2015-12-25 08:38:33,11124014,Mansfield,2015-12-25
18,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,8,2015-12-28 23:24:46,11173742,Mansfield,2015-12-28
19,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,9,2015-12-29 22:25:30,11230544,Mansfield,2015-12-29
20,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,8,2015-12-30 22:27:27,11291478,Mansfield,2015-12-30
21,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,8,2015-12-31 22:26:21,11340189,Mansfield,2015-12-31
22,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,10,2016-01-01 22:29:16,11389561,Mansfield,2016-01-01
23,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,10,2016-01-02 22:25:32,11441633,Mansfield,2016-01-02
24,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,12,2016-01-03 22:21:15,11494678,Mansfield,2016-01-03
25,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,23,2016-01-04 22:37:59,11618933,Mansfield,2016-01-04
26,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,34,2016-01-05 22:16:53,11791688,Mansfield,2016-01-05
27,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,33,2016-01-06 22:20:17,11944618,Mansfield,2016-01-06
28,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,31,2016-01-07 22:17:52,12104928,Mansfield,2016-01-07
29,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,32,2016-01-08 22:16:04,12255448,Mansfield,2016-01-08
30,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,32,2016-01-09 22:16:37,12412063,Mansfield,2016-01-09
31,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,33,2016-01-10 23:54:09,12567082,Mansfield,2016-01-10
32,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,14,2016-01-11 11:45:34,12630863,Mansfield,2016-01-11
33,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,12,2016-01-18 23:39:08,13509827,Mansfield,2016-01-18
34,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,18,2016-01-19 22:46:05,124809,Mansfield,2016-01-19
35,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,35,2016-01-20 22:10:06,260174,Mansfield,2016-01-20
36,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,32,2016-01-21 22:14:00,401253,Mansfield,2016-01-21
37,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,34,2016-01-22 22:11:05,560151,Mansfield,2016-01-22
38,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,32,2016-01-23 22:08:48,710363,Mansfield,2016-01-23
39,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,33,2016-01-24 23:53:59,791928,Mansfield,2016-01-24
40,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,33,2016-01-25 22:10:49,940335,Mansfield,2016-01-25
41,TMG,Contract,,Unknown,,(7215300),0,14504,MAGELLAN N. AUGUSTA # 1 (MAGNAU0),0,14504,0,0,,,ULSALL - ULTRA LOW SULFUR DIESEL,Custom,32,2016-01-26 22:11:30,1083165,Mansfield,2016-01-26
