,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Monthly,base_gallons_Weekly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Monthly,en_account_type_Weekly,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Monthly,staging_id_Weekly,execution_date_Monthly,execution_date_Weekly,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,beginning_gallons_Daily,en_allocation_status_Daily,percentage_allocation_Daily_actual,percentage_allocation_Daily,alerts_ratability_Daily,next_refresh_date_Daily,NRB_Daily,next_refresh_base_gallons_Daily,remaining_gallons_Daily,additional_gallons_allowed_Daily,additional_gallons_remaining_Daily,execution_date_Daily,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,0,0,0,0,1,w1,0,0,0,121000,27500,Available,Available,-1,100,-1,100,-1,-1,02/01 00:00:00 MST,w1,0,2016-01-08 00:00:00,Contract,Contract,0,-1,-1,121000,27500,0,0,0,0,11389620,11389619,2016-01-01 22:31:21,2016-01-01 22:31:21,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,True,True,0,True,0,True,0,121000,27500,-1,-1,-1,-1.0,-1,0,27500.0,3929.0,121799.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,0,0,0,0,1,w1,0,0,0,121000,27500,Available,Available,-1,100,-1,100,-1,-1,02/01 00:00:00 MST,w1,0,2016-01-08 00:00:00,Contract,Contract,0,-1,-1,121000,27500,0,0,0,0,11441748,11441747,2016-01-02 22:27:52,2016-01-02 22:27:52,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,True,True,0,True,0,True,0,121000,27500,-1,-1,-1,-1.0,-1,0,27500.0,3929.0,121799.0,-1.0,1,1
2016-01-03,2016-01-03 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,0,0,0,0,1,w1,0,0,0,121000,27500,Available,Available,-1,100,-1,100,-1,-1,02/01 00:00:00 MST,w1,0,2016-01-08 00:00:00,Contract,Contract,0,-1,-1,121000,27500,0,0,0,0,11494796,11494795,2016-01-03 22:23:36,2016-01-03 22:23:36,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,True,True,0,True,0,True,0,121000,27500,-1,-1,-1,-1.0,-1,0,27500.0,3929.0,121799.0,-1.0,1,1
2016-01-04,2016-01-04 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,0,0,0,0,1,w1,0,0,9497,121000,27500,Available,Available,-1,100,-1,100,-1,-1,02/01 00:00:00 MST,w1,0,2016-01-08 00:00:00,Contract,Contract,0,-1,-1,121000,27500,0,0,0,0,11619049,11619048,2016-01-04 22:39:44,2016-01-04 22:39:44,Mansfield,Mansfield,0,1,9497,3,9497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,9497,True,9497,True,-9497,121000,18003,-1,-1,-1,-1.0,-1,0,27500.0,3929.0,121799.0,61.0,0,0
2016-01-05,2016-01-05 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,9497,0,9497,9497,1,w1,0,0,20697,121000,27500,Available,Available,-1,100,-1,100,-1,-1,02/01 00:00:00 MST,w1,0,2016-01-08 00:00:00,Contract,Contract,0,-1,-1,111503,18003,0,0,0,0,11790913,11790912,2016-01-05 22:09:07,2016-01-05 22:09:07,Mansfield,Mansfield,0,1,11200,3,11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,20697,True,20697,True,-11200,111503,6803,-1,-1,-1,49.0,-1,0,27500.0,3929.0,121799.0,106.0,0,0
2016-01-06,2016-01-06 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,20697,0,20697,20697,1,w1,0,0,20697,121000,27500,Available,Limited,-1,100,-1,100,-1,-1,02/01 00:00:00 MST,w1,0,2016-01-08 00:00:00,Contract,Contract,0,-1,-1,100303,6803,0,0,0,0,11943588,11943587,2016-01-06 22:10:32,2016-01-06 22:10:32,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,True,True,20697,True,20697,True,0,100303,6803,-1,-1,-1,88.0,-1,0,27500.0,3929.0,121799.0,88.0,1,1
2016-01-07,2016-01-07 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,20697,0,20697,20697,1,w1,0,0,20697,121000,27500,Available,Limited,-1,100,-1,100,-1,-1,02/01 00:00:00 MST,w1,0,2016-01-08 00:00:00,Contract,Contract,0,-1,-1,100303,6803,0,0,0,0,12103297,12103296,2016-01-07 22:01:04,2016-01-07 22:01:04,Mansfield,Mansfield,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,True,True,20697,True,20697,True,0,100303,6803,-1,-1,-1,76.0,-1,0,27500.0,3929.0,121799.0,76.0,1,1
2016-01-08,2016-01-08 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,20697,0,20697,0,1,w2,0,0,0,121000,27500,Available,Available,-1,100,-1,100,-1,-1,02/01 00:00:00 MST,w2,0,2016-01-15 00:00:00,Contract,Contract,0,-1,-1,100303,27500,0,0,0,0,12255056,12255055,2016-01-08 22:10:49,2016-01-08 22:10:49,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,True,True,0,True,20697,True,0,100303,27500,-1,-1,-1,66.0,-1,0,27500.0,3929.0,121799.0,66.0,1,1
2016-01-09,2016-01-09 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,20697,0,20697,0,1,w2,0,0,0,121000,27500,Available,Available,-1,100,-1,100,-1,-1,02/01 00:00:00 MST,w2,0,2016-01-15 00:00:00,Contract,Contract,0,-1,-1,100303,27500,0,0,0,0,12411289,12411288,2016-01-09 22:09:11,2016-01-09 22:09:11,Mansfield,Mansfield,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,True,True,0,True,20697,True,0,100303,27500,-1,-1,-1,59.0,-1,0,27500.0,3929.0,121799.0,59.0,1,1
2016-01-10,2016-01-10 00:00:00,Tesoro,UNBRANDED CONTRACT,MTN - BOISE-TSO (FKA:NWTC Chev),MTN ULSD #2,0,0,20697,0,20697,0,1,w2,0,0,10002,121000,27500,Available,Available,-1,100,-1,100,-1,-1,02/01 00:00:00 MST,w2,0,2016-01-15 00:00:00,Contract,Contract,0,-1,-1,100303,27500,0,0,0,0,12562348,12562347,2016-01-10 22:09:41,2016-01-10 22:09:41,Mansfield,Mansfield,0,1,10002,3,10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,27500,0,0,0,False,True,10002,True,30699,True,-10002,100303,17498,-1,-1,-1,53.0,-1,0,27500.0,3929.0,121799.0,79.0,0,0
