,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,customer_name,date
0,Tesoro,Contract,,Available,,UNBRANDED CONTRACT,0,121000,MTN - BOISE-TSO (FKA:NWTC Chev),27408,93592,0,0,10/01 00:00:00 MDT,,MTN ULSD #2,Monthly,17,2015-09-01 19:19:31,4256306,Mansfield,2015-09-01
1,Tesoro,Contract,,Out,,UNBRANDED CONTRACT,0,27500,MTN - BOISE-TSO (FKA:NWTC Chev),27408,92,0,0,09/08 00:00:00 MDT,,MTN ULSD #2,Weekly,17,2015-09-01 19:19:31,4256305,Mansfield,2015-09-01
2,Tesoro,Contract,,Available,,UNBRANDED CONTRACT,0,121000,MTN - BOISE-TSO (FKA:NWTC Chev),30305,90695,0,0,10/01 00:00:00 MDT,,MTN ULSD #2,Monthly,9,2015-09-02 19:19:41,4317953,Mansfield,2015-09-02
3,Tesoro,Contract,,Out,,UNBRANDED CONTRACT,0,27500,MTN - BOISE-TSO (FKA:NWTC Chev),30305,-2805,0,0,09/08 00:00:00 MDT,,MTN ULSD #2,Weekly,9,2015-09-02 19:19:41,4317952,Mansfield,2015-09-02
4,Tesoro,Contract,,Available,,UNBRANDED CONTRACT,0,121000,MTN - BOISE-TSO (FKA:NWTC Chev),30305,90695,0,0,10/01 00:00:00 MDT,,MTN ULSD #2,Monthly,10,2015-09-03 22:18:44,4377202,Mansfield,2015-09-03
5,Tesoro,Contract,,Out,,UNBRANDED CONTRACT,0,27500,MTN - BOISE-TSO (FKA:NWTC Chev),30305,-2805,0,0,09/08 00:00:00 MDT,,MTN ULSD #2,Weekly,10,2015-09-03 22:18:44,4377201,Mansfield,2015-09-03
6,Tesoro,Contract,,Available,,UNBRANDED CONTRACT,0,121000,MTN - BOISE-TSO (FKA:NWTC Chev),30305,90695,0,0,10/01 00:00:00 MDT,,MTN ULSD #2,Monthly,10,2015-09-04 22:19:31,4437440,Mansfield,2015-09-04
7,Tesoro,Contract,,Out,,UNBRANDED CONTRACT,0,27500,MTN - BOISE-TSO (FKA:NWTC Chev),30305,-2805,0,0,09/08 00:00:00 MDT,,MTN ULSD #2,Weekly,10,2015-09-04 22:19:31,4437439,Mansfield,2015-09-04
8,Tesoro,Contract,,Available,,UNBRANDED CONTRACT,0,121000,MTN - BOISE-TSO (FKA:NWTC Chev),30305,90695,0,0,10/01 00:00:00 MDT,,MTN ULSD #2,Monthly,10,2015-09-05 22:19:04,4490464,Mansfield,2015-09-05
9,Tesoro,Contract,,Out,,UNBRANDED CONTRACT,0,27500,MTN - BOISE-TSO (FKA:NWTC Chev),30305,-2805,0,0,09/08 00:00:00 MDT,,MTN ULSD #2,Weekly,10,2015-09-05 22:19:04,4490463,Mansfield,2015-09-05
