,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_10-day,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_10-day,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_10-day,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_10-day,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_10-day,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_10-day,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_10-day,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_10-day,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,next_refresh_base_gallons_10-day,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_10-day,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_10-day,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_10-day,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_10-day,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_10-day,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_10-day,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,1,14001,3,14001.0,-1,14001,0,14001,43610,1,w1,-1,0,14001,-1,-1,560700,104664,-1,-1,Available,Available,-1,-1,-1,125%,125,100%,100,-1,-1,On Track,On Track,-1,-1,09/01 00:00:00 MST,w1,0,2015-08-06 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,546699,61054,-1,-1,0,0,-1,-1,0,0,-1,-1,2568886,2568885,-1,-1,2015-08-01 22:07:57,2015-08-01 22:07:57,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,560700,104664,True,False,0,0,0,0,-1,546699,90663,-1,-1,-1,97.0,-1.0,0,104664.0,14952.0,463512.0,-1,1,1
2015-08-02,2015-08-02 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1.0,-1,14001,0,14001,43610,0,w1,-1,0,43610,-1,-1,560700,104664,-1,-1,Available,Available,-1,-1,-1,125%,125,100%,100,-1,-1,Below Trend,Below Trend,-1,-1,09/01 00:00:00 MST,w1,0,2015-08-06 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,546699,61054,-1,-1,0,0,-1,-1,0,0,-1,-1,2615103,2615102,-1,-1,2015-08-02 22:05:53,2015-08-02 22:05:53,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,560700,104664,False,False,0,0,0,0,-1,546699,61054,-1,-1,-1,48.0,-1.0,0,104664.0,14952.0,463512.0,-1,0,0
2015-08-03,2015-08-03 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1.0,-1,44207,0,44207,73816,0,w1,-1,0,73816,-1,-1,560700,104664,-1,-1,Available,Limited,-1,-1,-1,125%,125,100%,100,-1,-1,On Track,On Track,-1,-1,09/01 00:00:00 MST,w1,0,2015-08-06 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,516493,30848,-1,-1,0,0,-1,-1,0,0,-1,-1,2669982,2669981,-1,-1,2015-08-03 22:06:09,2015-08-03 22:06:09,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,560700,104664,False,False,0,0,0,0,-1,516493,30848,-1,-1,-1,102.0,-1.0,0,104664.0,14952.0,463512.0,-1,0,0
2015-08-04,2015-08-04 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1.0,-1,51506,0,51506,81115,0,w1,-1,0,81115,-1,-1,560700,104664,-1,-1,Available,Limited,-1,-1,-1,125%,125,100%,100,-1,-1,Below Trend,On Track,-1,-1,09/01 00:00:00 MST,w1,0,2015-08-06 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,509194,23549,-1,-1,0,0,-1,-1,0,0,-1,-1,2725562,2725561,-1,-1,2015-08-04 22:05:51,2015-08-04 22:05:51,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,560700,104664,False,False,0,0,0,0,-1,509194,23549,-1,-1,-1,89.0,-1.0,0,104664.0,14952.0,463512.0,-1,0,0
2015-08-05,2015-08-05 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1.0,-1,74008,0,74008,103617,0,w1,-1,0,103617,-1,-1,560700,104664,-1,-1,Available,Limited,-1,-1,-1,125%,125,100%,100,-1,-1,On Track,On Track,-1,-1,09/01 00:00:00 MST,w1,0,2015-08-06 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,486692,1047,-1,-1,0,0,-1,-1,0,0,-1,-1,2786058,2786057,-1,-1,2015-08-05 22:07:43,2015-08-05 22:07:43,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,560700,104664,False,False,0,0,0,0,-1,486692,1047,-1,-1,-1,102.0,-1.0,0,104664.0,14952.0,463512.0,-1,0,0
2015-08-06,2015-08-06 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,3,7299,1,7299.0,-1,88607,0,88607,7299,0,w2,-1,0,7299,-1,-1,560700,104664,-1,-1,Available,Available,-1,-1,-1,125%,125,100%,100,-1,-1,Below Trend,Below Trend,-1,-1,09/01 00:00:00 MST,w2,0,2015-08-13 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,472093,97365,-1,-1,0,0,-1,-1,0,0,-1,-1,2844224,2844223,-1,-1,2015-08-06 22:06:13,2015-08-06 22:06:13,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,560700,104664,True,True,0,0,0,0,-1,472093,97365,-1,-1,-1,102.0,-1.0,0,104664.0,14952.0,463512.0,-1,0,0
2015-08-07,2015-08-07 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1.0,-1,95608,0,95608,14300,0,w2,-1,0,14300,-1,-1,560700,104664,-1,-1,Available,Available,-1,-1,-1,125%,125,100%,100,-1,-1,Below Trend,Below Trend,-1,-1,09/01 00:00:00 MST,w2,0,2015-08-13 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,465092,90364,-1,-1,0,0,-1,-1,0,0,-1,-1,2897502,2897501,-1,-1,2015-08-07 22:05:46,2015-08-07 22:05:46,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,560700,104664,False,False,0,0,0,0,-1,465092,90364,-1,-1,-1,94.0,-1.0,0,104664.0,14952.0,463512.0,-1,0,0
2015-08-08,2015-08-08 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1.0,-1,95608,0,95608,14300,0,w2,-1,0,14300,-1,-1,560700,104664,-1,-1,Available,Available,-1,-1,-1,125%,125,100%,100,-1,-1,Below Trend,Below Trend,-1,-1,09/01 00:00:00 MST,w2,0,2015-08-13 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,465092,90364,-1,-1,0,0,-1,-1,0,0,-1,-1,2953463,2953462,-1,-1,2015-08-08 22:05:41,2015-08-08 22:05:41,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,560700,104664,False,False,0,0,0,0,-1,465092,90364,-1,-1,-1,83.0,-1.0,0,104664.0,14952.0,463512.0,-1,0,0
2015-08-09,2015-08-09 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1.0,-1,95608,0,95608,14300,0,w2,-1,0,14300,-1,-1,560700,104664,-1,-1,Available,Available,-1,-1,-1,125%,125,100%,100,-1,-1,Below Trend,Below Trend,-1,-1,09/01 00:00:00 MST,w2,0,2015-08-13 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,465092,90364,-1,-1,0,0,-1,-1,0,0,-1,-1,3005459,3005458,-1,-1,2015-08-09 22:06:56,2015-08-09 22:06:56,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,560700,104664,False,False,0,0,0,0,-1,465092,90364,-1,-1,-1,73.0,-1.0,0,104664.0,14952.0,463512.0,-1,0,0
2015-08-10,2015-08-10 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,CalJet - Phoenix (B285),DSL - LSD/ULSD,-1,-1,448560,104664,-1,0,-1,0,-1.0,-1,116111,0,116111,34803,0,w2,-1,0,34803,-1,-1,560700,104664,-1,-1,Available,Available,-1,-1,-1,125%,125,100%,100,-1,-1,Below Trend,Below Trend,-1,-1,09/01 00:00:00 MST,w2,0,2015-08-13 00:00:00,-1,-1,Contract,Contract,-1,-1,-1,448560,-1,-1,-1,-1,444589,69861,-1,-1,0,0,-1,-1,0,0,-1,-1,3066659,3066658,-1,-1,2015-08-10 22:08:41,2015-08-10 22:08:41,-1,-1,Mansfield,Mansfield,-1,448560,104664,-1,560700,104664,False,False,0,0,0,0,-1,444589,69861,-1,-1,-1,80.0,-1.0,0,104664.0,14952.0,463512.0,-1,0,0
