,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_10-day,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_10-day,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_10-day,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_10-day,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_10-day,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_10-day,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_10-day,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_10-day,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,next_refresh_base_gallons_10-day,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_10-day,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_10-day,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_10-day,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_10-day,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_10-day,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_10-day,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,42521,3,42521,42521,42521,0,42521,78721,1,w1,42521,0,42521,-1,50400,1041600,294000,-1,Limited,Available,Available,-1,150%,150,100%,100,125%,125,-1,On Track,Above Trend,Below Trend,-1,12/02 00:00:00 CST,01/01 00:00:00 CST,w2,0,2015-12-03 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,7879,999079,215279,-1,0,0,0,-1,0,0,0,-1,9240640,9240642,9240641,-1,2015-12-01 22:07:21,2015-12-01 22:07:21,2015-12-01 22:07:21,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,False,42521,True,0,0,7879,999079,251479,-1,-1,-1,127.0,133.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-02,2015-12-02 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,2675,0,2675,2675,45196,0,45196,81396,1,w1,2675,0,45196,-1,50400,1041600,294000,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,12/03 00:00:00 CST,01/01 00:00:00 CST,w2,0,2015-12-03 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,47725,996404,212604,-1,0,0,0,-1,0,0,0,-1,9294772,9294774,9294773,-1,2015-12-02 22:10:41,2015-12-02 22:10:41,2015-12-02 22:10:41,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,False,45196,True,0,0,47725,996404,248804,-1,-1,-1,67.0,0.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-03,2015-12-03 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,33540,3,33540,33540,78736,0,78736,33540,1,w2,33540,0,33540,-1,50400,1041600,294000,-1,Limited,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,On Track,-1,12/04 00:00:00 CST,01/01 00:00:00 CST,w3,0,2015-12-10 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,16860,962864,260460,-1,0,0,0,-1,0,0,0,-1,9348050,9348052,9348051,-1,2015-12-03 22:11:09,2015-12-03 22:11:09,2015-12-03 22:11:09,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,True,33540,True,0,0,16860,962864,260460,-1,-1,-1,78.0,0.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-04,2015-12-04 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,25226,3,25226,25226,103962,0,103962,58766,1,w2,25226,0,58766,-1,50400,1041600,294000,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,12/05 00:00:00 CST,01/01 00:00:00 CST,w3,0,2015-12-10 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,25174,937638,235234,-1,0,0,0,-1,0,0,0,-1,9401703,9401705,9401704,-1,2015-12-04 22:10:01,2015-12-04 22:10:01,2015-12-04 22:10:01,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,True,58766,True,0,0,25174,937638,235234,-1,-1,-1,77.0,0.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-05,2015-12-05 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,3480,3,3480,3480,107442,0,107442,62246,1,w2,3480,0,62246,-1,50400,1041600,294000,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,12/06 00:00:00 CST,01/01 00:00:00 CST,w3,0,2015-12-10 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,46920,934158,231754,-1,0,0,0,-1,0,0,0,-1,9453763,9453765,9453764,-1,2015-12-05 22:10:47,2015-12-05 22:10:47,2015-12-05 22:10:47,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,True,62246,True,0,0,46920,934158,231754,-1,-1,-1,64.0,0.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-06,2015-12-06 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,0,3,0,0,107442,0,107442,62246,1,w2,0,0,62246,-1,50400,1041600,294000,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,12/07 00:00:00 CST,01/01 00:00:00 CST,w3,0,2015-12-10 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,50400,934158,231754,-1,0,0,0,-1,0,0,0,-1,9459122,9459124,9459123,-1,2015-12-06 02:10:16,2015-12-06 02:10:16,2015-12-06 02:10:16,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,True,62246,True,0,0,50400,934158,231754,-1,-1,-1,53.0,0.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-07,2015-12-07 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,40400,3,40400,37500,144942,0,144942,99746,1,w2,37500,0,102646,-1,50400,1041600,294000,-1,Limited,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,12/08 00:00:00 CST,01/01 00:00:00 CST,w3,0,2015-12-10 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,12900,896658,194254,-1,0,0,0,-1,0,0,0,-1,9535776,9535778,9535777,-1,2015-12-07 22:10:53,2015-12-07 22:10:53,2015-12-07 22:10:53,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,False,True,102646,True,0,0,10000,896658,191354,-1,-1,-1,62.0,133.0,0,235200.0,33600.0,1041600.0,-1,0,0
2015-12-08,2015-12-08 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,33050,3,33050,30000,177842,0,177842,132646,1,w2,30000,0,135696,-1,50400,1041600,294000,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,12/09 00:00:00 CST,01/01 00:00:00 CST,w3,0,2015-12-10 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,20400,863758,161354,-1,0,0,0,-1,0,0,0,-1,9587529,9587531,9587530,-1,2015-12-08 22:10:39,2015-12-08 22:10:39,2015-12-08 22:10:39,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,False,True,135696,True,0,0,17350,863758,158304,-1,-1,-1,66.0,0.0,0,235200.0,33600.0,1041600.0,-1,0,0
2015-12-09,2015-12-09 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,53500,0,53500,53500,234392,0,234392,189196,1,w2,53500,0,189196,-1,50400,1041600,294000,-1,Out,Available,Available,-1,150%,150,100%,100,125%,125,-1,On Track,Below Trend,Below Trend,-1,12/10 00:00:00 CST,01/01 00:00:00 CST,w3,0,2015-12-10 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,-3100,807208,104804,-1,0,0,0,-1,0,0,0,-1,9638371,9638373,9638372,-1,2015-12-09 22:10:41,2015-12-09 22:10:41,2015-12-09 22:10:41,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,True,189196,True,0,0,-3100,807208,104804,-1,-1,-1,78.0,133.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-10,2015-12-10 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,52642,3,52642,52642,287034,0,287034,52642,1,w3,52642,0,52642,-1,50400,1041600,294000,-1,Out,Available,Available,-1,150%,150,100%,100,125%,125,-1,Above Trend,On Track,Above Trend,-1,12/11 00:00:00 CST,01/01 00:00:00 CST,w4,0,2015-12-17 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,-2242,754566,241358,-1,0,0,0,-1,0,0,0,-1,9670737,9670739,9670738,-1,2015-12-10 15:11:25,2015-12-10 15:11:25,2015-12-10 15:11:25,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,True,52642,True,0,0,-2242,754566,241358,-1,-1,-1,85.0,200.0,0,235200.0,33600.0,1041600.0,-1,1,1
2015-12-11,2015-12-11 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1,33600,1041600,235200,-1,1,37500,3,37500,37500,324534,0,324534,90142,1,w3,37500,0,90142,-1,50400,1041600,294000,-1,Limited,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,On Track,On Track,-1,12/12 00:00:00 CST,01/01 00:00:00 CST,w4,0,2015-12-17 00:00:00,-1,Contract,Contract,Contract,-1,33600,-1,1041600,-1,-1,-1,12900,717066,203858,-1,0,0,0,-1,0,0,0,-1,9742154,9742156,9742155,-1,2015-12-11 22:12:50,2015-12-11 22:12:50,2015-12-11 22:12:50,-1,Mansfield,Mansfield,Mansfield,33600,1041600,235200,50400,1041600,294000,True,True,90142,True,0,0,12900,717066,203858,-1,-1,-1,88.0,133.0,0,235200.0,33600.0,1041600.0,-1,1,1
