,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,customer_name,date
0,Valero,Contract,Below Trend,Available,125%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,150000.0,187500.0,CalJet - Phoenix (B285),0.0,187500.0,0.0,0.0,06/11 00:00:00 MST,,DSL - LSD/ULSD,10-day,1,2015-06-01 05:51:14,193405,Mansfield,2015-06-01
1,Valero,Contract,Below Trend,Available,150%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,15000.0,22500.0,CalJet - Phoenix (B285),0.0,22500.0,0.0,0.0,06/02 00:00:00 MST,,DSL - LSD/ULSD,Daily,1,2015-06-01 05:51:14,193404,Mansfield,2015-06-01
2,Valero,Contract,Below Trend,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,450000.0,450000.0,CalJet - Phoenix (B285),0.0,450000.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,1,2015-06-01 05:51:14,193406,Mansfield,2015-06-01
3,Valero,Contract,On Track,Available,125%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,150000.0,187500.0,CalJet - Phoenix (B285),22304.0,165196.0,0.0,0.0,06/11 00:00:00 MST,,DSL - LSD/ULSD,10-day,1,2015-06-02 02:04:17,198591,Mansfield,2015-06-02
4,Valero,Contract,On Track,Limited,150%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,15000.0,22500.0,CalJet - Phoenix (B285),22304.0,196.0,0.0,0.0,06/02 00:00:00 MST,,DSL - LSD/ULSD,Daily,1,2015-06-02 02:04:17,198590,Mansfield,2015-06-02
5,Valero,Contract,Above Trend,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,450000.0,450000.0,CalJet - Phoenix (B285),22304.0,427696.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,1,2015-06-02 02:04:17,198592,Mansfield,2015-06-02
6,Valero,Contract,Below Trend,Limited,150%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,15000.0,22500.0,CalJet - Phoenix (B285),14802.0,7698.0,0.0,0.0,06/03 00:00:00 MST,,DSL - LSD/ULSD,Daily,1,2015-06-03 01:44:43,202805,Mansfield,2015-06-03
7,Valero,Contract,Above Trend,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,450000.0,450000.0,CalJet - Phoenix (B285),37106.0,412894.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,1,2015-06-03 01:44:43,202806,Mansfield,2015-06-03
8,Valero,Contract,Below Trend,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,448560.0,448560.0,CalJet - Phoenix (B285),37106.0,411454.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,1,2015-06-04 06:07:37,207865,Mansfield,2015-06-04
9,Valero,Contract,Below Trend,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,104664.0,104664.0,CalJet - Phoenix (B285),0.0,104664.0,0.0,0.0,06/11 00:00:00 MST,,DSL - LSD/ULSD,Weekly,1,2015-06-04 06:07:37,207864,Mansfield,2015-06-04
10,Valero,Contract,On Track,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,448560.0,448560.0,CalJet - Phoenix (B285),59126.0,389434.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,1,2015-06-05 00:40:46,212987,Mansfield,2015-06-05
11,Valero,Contract,Above Trend,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,104664.0,104664.0,CalJet - Phoenix (B285),22020.0,82644.0,0.0,0.0,06/11 00:00:00 MST,,DSL - LSD/ULSD,Weekly,1,2015-06-05 00:40:46,212986,Mansfield,2015-06-05
12,Valero,Contract,On Track,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,448560.0,448560.0,CalJet - Phoenix (B285),96930.0,351630.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,2,2015-06-08 12:44:39,223231,Mansfield,2015-06-08
13,Valero,Contract,On Track,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,104664.0,104664.0,CalJet - Phoenix (B285),59824.0,44840.0,0.0,0.0,06/11 00:00:00 MST,,DSL - LSD/ULSD,Weekly,2,2015-06-08 12:44:39,223230,Mansfield,2015-06-08
14,Valero,Contract,Below Trend,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,448560.0,448560.0,CalJet - Phoenix (B285),96930.0,351630.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,1,2015-06-09 01:04:48,228289,Mansfield,2015-06-09
15,Valero,Contract,Below Trend,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,104664.0,104664.0,CalJet - Phoenix (B285),59824.0,44840.0,0.0,0.0,06/11 00:00:00 MST,,DSL - LSD/ULSD,Weekly,1,2015-06-09 01:04:48,228288,Mansfield,2015-06-09
16,Valero,Contract,On Track,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,448560.0,448560.0,CalJet - Phoenix (B285),126438.0,322122.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,3,2015-06-10 16:49:41,244782,Mansfield,2015-06-10
17,Valero,Contract,On Track,Limited,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,104664.0,104664.0,CalJet - Phoenix (B285),89332.0,15332.0,0.0,0.0,06/11 00:00:00 MST,,DSL - LSD/ULSD,Weekly,3,2015-06-10 16:49:41,244781,Mansfield,2015-06-10
18,Valero,Contract,On Track,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,448560.0,448560.0,CalJet - Phoenix (B285),141237.0,307323.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,4,2015-06-11 14:44:35,263951,Mansfield,2015-06-11
19,Valero,Contract,Above Trend,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,104664.0,104664.0,CalJet - Phoenix (B285),14799.0,89865.0,0.0,0.0,06/18 00:00:00 MST,,DSL - LSD/ULSD,Weekly,4,2015-06-11 14:44:35,263950,Mansfield,2015-06-11
20,Valero,Contract,On Track,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,448560.0,448560.0,CalJet - Phoenix (B285),169540.0,279020.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,3,2015-06-12 14:20:57,279095,Mansfield,2015-06-12
21,Valero,Contract,Above Trend,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,104664.0,104664.0,CalJet - Phoenix (B285),43102.0,61562.0,0.0,0.0,06/18 00:00:00 MST,,DSL - LSD/ULSD,Weekly,3,2015-06-12 14:20:57,279094,Mansfield,2015-06-12
22,Valero,Contract,On Track,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,448560.0,448560.0,CalJet - Phoenix (B285),169540.0,279020.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,8,2015-06-13 22:11:07,321022,Mansfield,2015-06-13
23,Valero,Contract,On Track,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,104664.0,104664.0,CalJet - Phoenix (B285),43102.0,61562.0,0.0,0.0,06/18 00:00:00 MST,,DSL - LSD/ULSD,Weekly,8,2015-06-13 22:11:07,321021,Mansfield,2015-06-13
24,Valero,Contract,Below Trend,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,448560.0,448560.0,CalJet - Phoenix (B285),169540.0,279020.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,8,2015-06-14 22:11:20,363356,Mansfield,2015-06-14
25,Valero,Contract,Below Trend,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,104664.0,104664.0,CalJet - Phoenix (B285),43102.0,61562.0,0.0,0.0,06/18 00:00:00 MST,,DSL - LSD/ULSD,Weekly,8,2015-06-14 22:11:20,363355,Mansfield,2015-06-14
26,Valero,Contract,On Track,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,448560.0,448560.0,CalJet - Phoenix (B285),199444.0,249116.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,10,2015-06-15 22:11:33,413967,Mansfield,2015-06-15
27,Valero,Contract,On Track,Available,115%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,104664.0,120364.0,CalJet - Phoenix (B285),73006.0,47358.0,0.0,0.0,06/18 00:00:00 MST,,DSL - LSD/ULSD,Weekly,10,2015-06-15 22:11:33,413966,Mansfield,2015-06-15
28,Valero,Contract,On Track,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,448560.0,448560.0,CalJet - Phoenix (B285),219950.0,228610.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,10,2015-06-16 22:11:16,461801,Mansfield,2015-06-16
29,Valero,Contract,On Track,Limited,115%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,104664.0,120364.0,CalJet - Phoenix (B285),93512.0,26852.0,0.0,0.0,06/18 00:00:00 MST,,DSL - LSD/ULSD,Weekly,10,2015-06-16 22:11:16,461800,Mansfield,2015-06-16
30,Valero,Contract,On Track,Available,100%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,448560.0,448560.0,CalJet - Phoenix (B285),219950.0,228610.0,0.0,0.0,07/01 00:00:00 MST,,DSL - LSD/ULSD,Monthly,10,2015-06-17 22:11:20,512351,Mansfield,2015-06-17
31,Valero,Contract,Below Trend,Limited,115%,MANSFIELD OIL CO O-120032-W/S - UNB Contract,104664.0,120364.0,CalJet - Phoenix (B285),93512.0,26852.0,0.0,0.0,06/18 00:00:00 MST,,DSL - LSD/ULSD,Weekly,10,2015-06-17 22:11:20,512350,Mansfield,2015-06-17
