,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_10-day,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_10-day,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_10-day,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_10-day,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_10-day,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_10-day,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_10-day,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_10-day,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,next_refresh_base_gallons_10-day,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_10-day,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_10-day,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_10-day,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_10-day,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_10-day,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_10-day,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,7600.0,3,7600.0,0.0,0.0,0,0.0,94002,1,w1,0.0,0,7600.0,-1.0,50400.0,1008000.0,294000.0,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,06/02 00:00:00 CDT,07/01 00:00:00 CDT,w1,0,2015-06-04 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,50400.0,1008000.0,199998.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,194705,194707,194706,-1,2015-06-01 05:51:14,2015-06-01 05:51:14,2015-06-01 05:51:14,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,False,True,7600,True,0,0,42800,1008000,286400,-1,-1,-1,-1.0,inf,inf,235200.0,33600.0,1008000.0,-1,0,0
2015-06-02,2015-06-02 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,30400.0,3,30400.0,0.0,7600.0,0,7600.0,101602,1,w1,0.0,0,38000.0,-1.0,50400.0,1008000.0,294000.0,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,06/03 00:00:00 CDT,07/01 00:00:00 CDT,w1,0,2015-06-04 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,50400.0,1000400.0,192398.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,199898,199900,199899,-1,2015-06-02 02:04:17,2015-06-02 02:04:17,2015-06-02 02:04:17,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,False,True,38000,True,0,0,20000,1000400,256000,-1,-1,-1,11.0,inf,inf,235200.0,33600.0,1008000.0,-1,0,0
2015-06-03,2015-06-03 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,0.0,0,0.0,0.0,38000.0,0,38000.0,132002,1,w1,0.0,0,38000.0,-1.0,50400.0,1008000.0,294000.0,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,06/04 00:00:00 CDT,07/01 00:00:00 CDT,w1,0,2015-06-04 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,50400.0,970000.0,161998.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,204098,204100,204099,-1,2015-06-03 01:44:43,2015-06-03 01:44:43,2015-06-03 01:44:43,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,False,True,38000,True,0,0,50400,970000,256000,-1,-1,-1,38.0,,16.0,235200.0,33600.0,1008000.0,-1,1,1
2015-06-04,2015-06-04 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,3,0.0,0,0.0,0.0,38000.0,0,38000.0,0,1,w2,0.0,0,0.0,-1.0,50400.0,1008000.0,294000.0,-1,Available,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Below Trend,-1,06/05 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-11 00:00:00,-1,Contract,Contract,Contract,-1,48196.0,-1,1008000.0,-1,-1,-1.0,50400.0,970000.0,294000.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,209167,209169,209168,-1,2015-06-04 06:07:37,2015-06-04 06:07:37,2015-06-04 06:07:37,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,True,True,0,0,0,0,50400,970000,294000,-1,-1,-1,28.0,0.0,,235200.0,33600.0,1008000.0,-1,1,1
2015-06-05,2015-06-05 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,48196.0,1008000.0,235200.0,-1.0,0,57294.0,0,57294.0,57294.0,95294.0,0,95294.0,57294,0,w2,57294.0,0,57294.0,-1.0,72294.0,1008000.0,294000.0,-1,Limited,Available,Available,-1,150%,150,100%,100,125%,125,-1,Below Trend,Below Trend,Above Trend,-1,06/05 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-11 00:00:00,-1,Contract,Contract,Contract,-1,-1.0,-1,-1.0,-1,-1,-1.0,15000.0,912706.0,236706.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,214268,214270,214269,-1,2015-06-05 00:40:46,2015-06-05 00:40:46,2015-06-05 00:40:46,-1,Mansfield,Mansfield,Mansfield,48196.0,1008000.0,235200.0,72294.0,1008000.0,294000.0,True,True,0,0,0,0,15000,912706,236706,-1,-1,-1,57.0,inf,inf,235200.0,33600.0,1008000.0,-1,1,1
2015-06-06,2015-06-06 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1,0,w3,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,150,-1,100,-1,125,-1,-1,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,-1,48196.0,1008000.0,235200.0,72294.0,1008000.0,294000.0,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,235200.0,33600.0,1008000.0,-1,0,0
2015-06-07,2015-06-07 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1,0,w3,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,150,-1,100,-1,125,-1,-1,-1,-1,-1,-1,-1,w2,1,2015-06-11 00:00:00,-1,-1,-1,-1,-1,33600.0,-1,1008000.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,0.0,3,0.0,37700.0,135394.0,0,135394.0,97394,0,w3,37700.0,0,97394.0,-1.0,50400.0,1008000.0,294000.0,-1,Limited,Available,Available,-1,150%,150,100%,100,125%,125,-1,Above Trend,Below Trend,Below Trend,-1,06/09 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-11 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,12700.0,872606.0,196606.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,224514,224516,224515,-1,2015-06-08 12:44:39,2015-06-08 12:44:39,2015-06-08 12:44:39,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,False,False,0,0,0,0,50400,872606,196606,-1,-1,-1,50.0,0.0,inf,235200.0,33600.0,1008000.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,94200.0,3,94200.0,52700.0,150394.0,0,150394.0,112394,1,w3,52700.0,0,191594.0,-1.0,50400.0,1008000.0,294000.0,-1,Out,Available,Available,-1,150%,150,100%,100,125%,125,-1,On Track,Below Trend,Below Trend,-1,06/09 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-11 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,-2300.0,857606.0,181606.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,229573,229575,229574,-1,2015-06-09 01:04:48,2015-06-09 01:04:48,2015-06-09 01:04:48,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,False,False,0,0,0,0,-43800,857606,102406,-1,-1,-1,50.0,inf,inf,235200.0,33600.0,1008000.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,Valero,MANSFIELD OIL CO O-120032-W/S - UNB Contract,Valero-Meraux Refinery (PBMX),DSL - LSD/ULSD,-1.0,33600.0,1008000.0,235200.0,-1.0,1,45200.0,0,45200.0,45200.0,237094.0,0,237094.0,199094,1,w3,45200.0,0,236794.0,-1.0,50400.0,1008000.0,294000.0,-1,Limited,Available,Limited,-1,150%,150,100%,100,125%,125,-1,On Track,Below Trend,Below Trend,-1,06/11 00:00:00 CDT,07/01 00:00:00 CDT,w2,0,2015-06-11 00:00:00,-1,Contract,Contract,Contract,-1,33600.0,-1,1008000.0,-1,-1,-1.0,5200.0,770906.0,94906.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1,246069,246071,246070,-1,2015-06-10 16:49:41,2015-06-10 16:49:41,2015-06-10 16:49:41,-1,Mansfield,Mansfield,Mansfield,33600.0,1008000.0,235200.0,50400.0,1008000.0,294000.0,False,False,0,0,0,0,5200,770906,57206,-1,-1,-1,71.0,269.0,101.0,235200.0,33600.0,1008000.0,-1,0,0
